latitude,longitude,datetime,power,confidence,surface_temperature_celcius
-35.042,141.846,2019-05-24T05:00:36,121.4,87,68
-37.374,142.123,2019-05-24T04:59:58,64.4,85,54
-37.571,142.473,2019-05-24T00:46:08,101.1,99,87
-37.562,142.475,2019-05-24T00:46:08,47.9,91,66
-37.373,142.125,2019-05-24T00:46:05,84.5,98,82
-37.72,143.3,2019-05-23T13:42:11,26.4,87,40
-34.844,142.332,2019-05-23T04:17:51,21.4,80,51
-35.04,141.791,2019-05-23T04:17:48,57.8,92,70
-35.88,141.261,2019-05-23T04:17:36,39.4,85,55
-36.027,143.768,2019-05-23T04:17:29,21.2,83,52
-36.451,144.242,2019-05-23T04:17:21,20.6,82,50
-36.415,146.621,2019-05-23T04:17:16,25.8,85,54
-37.238,142.499,2019-05-23T04:17:12,60.3,92,68
-37.24,142.484,2019-05-23T04:17:12,34.2,85,54
-37.407,141.24,2019-05-23T04:17:11,57.1,89,62
-37.404,141.272,2019-05-23T04:17:11,40.6,85,54
-37.393,141.27,2019-05-23T04:17:11,115.4,98,81
-37.406,141.256,2019-05-23T04:17:11,110.2,97,80
-37.397,141.239,2019-05-23T04:17:11,149.4,100,89
-37.366,142.441,2019-05-23T04:17:10,28.6,82,50
-37.424,145.114,2019-05-23T04:17:03,51.6,93,70
-37.426,145.102,2019-05-23T04:17:03,55.8,94,73
-37.701,143.31,2019-05-23T04:17:03,38.8,89,61
-37.709,143.325,2019-05-23T04:17:02,48,91,66
-37.21,148.819,2019-05-23T04:16:58,44.5,89,61
-37.208,148.832,2019-05-23T04:16:58,48.1,90,63
-38.184,141.995,2019-05-23T04:16:57,71.2,93,71
-38.194,141.997,2019-05-23T04:16:57,33.6,83,51
-37.947,144.127,2019-05-23T04:16:57,31,87,57
-38.187,141.989,2019-05-23T04:16:57,181.4,100,99
-38.187,141.965,2019-05-23T04:16:57,37.4,86,55
-38.189,141.974,2019-05-23T04:16:57,123.7,99,86
-37.941,144.619,2019-05-23T04:16:56,23.6,84,53
-37.838,145.702,2019-05-23T04:16:55,174.3,100,111
-37.836,145.713,2019-05-23T04:16:55,45.2,92,68
-37.731,147.53,2019-05-23T04:16:53,18.7,80,47
-37.635,148.486,2019-05-23T04:16:52,35.3,87,58
-38.38,146.675,2019-05-23T04:16:44,30.1,87,57
-37.426,141.393,2019-05-23T00:03:05,81.5,81,48
-38.38,146.674,2019-05-23T00:03:02,43.1,87,58
-36.407,146.616,2019-05-23T00:02:31,51.2,88,59
-36.41,146.631,2019-05-23T00:02:31,43.3,86,55
-37.464,141.303,2019-05-22T05:12:11,95.5,85,54
-38.229,146.956,2019-05-22T03:33:49,81.8,80,48
-38.171,146.928,2019-05-22T00:58:12,115.4,84,53
-38.169,146.923,2019-05-22T00:58:12,232.2,93,69
-37.751,141.768,2019-05-22T00:58:12,56.2,88,59
-38.156,146.93,2019-05-22T00:58:11,153.6,88,59
-37.459,141.278,2019-05-22T00:58:08,52.7,88,60
-37.653,148.313,2019-05-21T15:32:42,18.8,82,38
-37.663,148.321,2019-05-21T15:32:42,20.9,87,40
-34.72,142.94,2019-05-21T04:30:07,22.6,85,54
-37.94,141.043,2019-05-21T04:29:19,66.6,95,76
-37.938,141.056,2019-05-21T04:29:19,60.4,93,73
-38.393,146.766,2019-05-21T00:15:16,131.8,94,101
-38.391,146.755,2019-05-21T00:15:16,49.9,88,71
-35.074,141.802,2019-05-19T04:42:19,73,96,78
-36.38,144.753,2019-05-19T04:41:50,208.5,100,97
-37.292,143.151,2019-05-19T04:41:40,73.8,95,74
-37.508,142.362,2019-05-19T04:41:39,25.8,84,55
-37.49,142.358,2019-05-19T04:41:39,23.1,84,52
-37.472,143.185,2019-05-19T04:41:37,35.6,86,56
-37.523,143.492,2019-05-19T04:41:35,34.8,86,55
-37.525,143.478,2019-05-19T04:41:35,33,85,54
-37.523,143.483,2019-05-19T04:41:35,57.6,92,67
-37.775,142.684,2019-05-19T04:41:34,28.6,85,54
-37.589,143.458,2019-05-19T04:41:34,44.2,88,60
-38.248,146.305,2019-05-19T00:27:43,75.1,97,79
-37.501,142.384,2019-05-19T00:27:40,224.6,100,118
-37.495,142.379,2019-05-19T00:27:40,156.2,100,104
-37.497,142.391,2019-05-19T00:27:40,93.9,99,87
-37.318,143.355,2019-05-18T13:23:58,14.1,80,37
-36.813,141.751,2019-05-18T03:58:57,61.9,80,47
-36.607,144.91,2019-05-18T03:58:56,36,83,51
-37.371,141.477,2019-05-18T03:58:48,163.3,92,67
-37.497,142.388,2019-05-18T03:58:45,152.9,93,69
-37.494,142.394,2019-05-18T03:58:45,151.9,93,69
-37.677,142.878,2019-05-18T03:58:42,58.5,82,50
-37.831,145.703,2019-05-18T03:58:35,175.6,100,93
-37.844,145.709,2019-05-18T03:58:35,35.2,82,50
-37.407,147.513,2019-05-17T12:40:49,41.6,95,44
-36.38,141.434,2019-05-17T04:54:13,41,85,55
-36.394,141.422,2019-05-17T04:54:13,65.8,91,65
-36.391,141.438,2019-05-17T04:54:13,57,89,62
-36.392,141.416,2019-05-17T04:54:13,47.5,87,58
-36.389,141.432,2019-05-17T04:54:13,131.4,99,84
-36.383,141.419,2019-05-17T04:54:13,94.6,95,75
-36.984,141.431,2019-05-17T04:54:03,43,86,55
-37.114,141.056,2019-05-17T04:54:02,29.2,82,49
-36.986,141.917,2019-05-17T04:54:02,67.8,90,64
-36.431,144.803,2019-05-17T04:54:01,140.5,92,67
-36.437,144.799,2019-05-17T04:54:01,123.3,90,64
-37.164,141.581,2019-05-17T04:54:00,35.7,83,51
-37.378,141.489,2019-05-17T04:53:57,113.3,97,81
-37.375,141.505,2019-05-17T04:53:57,183.1,100,96
-37.454,141.585,2019-05-17T04:53:56,113,97,80
-37.464,141.588,2019-05-17T04:53:55,81.6,93,70
-37.457,141.76,2019-05-17T04:53:55,32.2,81,49
-37.232,143.255,2019-05-17T04:53:54,60.3,85,54
-37.809,141.16,2019-05-17T04:53:51,43,87,57
-37.488,142.742,2019-05-17T04:53:51,47.4,84,53
-37.807,141.175,2019-05-17T04:53:51,26.8,80,47
-37.494,143.4,2019-05-17T04:53:49,112.3,93,70
-37.489,143.393,2019-05-17T04:53:49,76.2,89,60
-37.485,143.413,2019-05-17T04:53:49,57.9,85,55
-37.952,141.044,2019-05-17T04:53:49,38.8,86,56
-37.962,141.047,2019-05-17T04:53:49,93.3,96,78
-37.419,147.476,2019-05-17T04:53:36,102.8,80,47
-37.948,141.053,2019-05-17T00:39:52,46.1,93,69
-37.957,141.051,2019-05-17T00:39:52,169.2,100,111
-37.461,141.694,2019-05-17T00:39:42,28.2,86,56
-37.46,141.682,2019-05-17T00:39:42,74.5,98,82
-37.452,141.696,2019-05-17T00:39:42,20.7,81,49
-37.465,141.588,2019-05-17T00:39:42,33.4,88,59
-37.455,141.59,2019-05-17T00:39:42,123.5,100,99
-37.451,141.684,2019-05-17T00:39:42,41.1,91,65
-37.454,141.579,2019-05-17T00:39:42,60.6,95,76
-37.313,143.361,2019-05-17T00:39:36,23.7,82,50
-37.88,146.138,2019-05-16T15:14:32,16.4,80,37
-37.888,146.135,2019-05-16T13:35:55,38.9,93,43
-36.432,141.187,2019-05-16T04:11:22,52.5,86,57
-36.429,141.193,2019-05-16T04:11:21,73.7,90,64
-36.53,141.797,2019-05-16T04:11:19,39,82,52
-36.532,141.78,2019-05-16T04:11:19,39.5,83,52
-36.744,141.58,2019-05-16T04:11:16,34.7,82,51
-36.744,141.591,2019-05-16T04:11:16,32.1,80,48
-36.897,141.877,2019-05-16T04:11:13,41.8,85,54
-36.899,141.866,2019-05-16T04:11:13,35.6,83,51
-36.632,146.662,2019-05-16T04:11:08,49,93,70
-36.631,146.674,2019-05-16T04:11:08,76.3,98,83
-36.641,146.664,2019-05-16T04:11:08,115.4,100,96
-36.64,146.676,2019-05-16T04:11:08,196.4,100,116
-37.486,142.346,2019-05-16T04:11:02,36.4,82,50
-37.49,143.409,2019-05-16T04:11:01,225.2,100,107
-37.491,143.394,2019-05-16T04:11:01,29.5,82,50
-37.216,146.826,2019-05-16T04:10:58,24.1,83,51
-37.225,146.829,2019-05-16T04:10:58,24.1,84,53
-37.789,142.599,2019-05-16T04:10:57,29.8,80,48
-37.833,143.333,2019-05-16T04:10:55,86.3,95,75
-37.999,141.732,2019-05-16T04:10:55,40.8,82,50
-38.02,141.741,2019-05-16T04:10:55,41.2,83,51
-37.726,144.193,2019-05-16T04:10:55,36.1,86,56
-37.209,148.83,2019-05-16T04:10:54,78.2,98,81
-38.051,141.651,2019-05-16T04:10:54,92,92,67
-37.21,148.818,2019-05-16T04:10:54,29.1,85,54
-37.904,146.22,2019-05-16T04:10:49,55.7,94,73
-37.919,146.248,2019-05-16T04:10:48,66.4,96,78
-37.19,149.032,2019-05-15T03:27:59,83,80,48
-37.187,149.026,2019-05-15T03:27:59,99.9,84,53
-36.437,140.983,2019-05-14T04:23:39,35.6,87,58
-37.672,141.431,2019-05-14T04:23:19,46.4,85,64
-37.662,141.429,2019-05-14T04:23:19,138.9,94,96
-37.673,141.417,2019-05-14T04:23:19,65.5,94,72
-37.19,149.025,2019-05-14T04:23:08,33.8,81,48
-37.177,149.037,2019-05-14T04:23:08,143.3,100,88
-37.173,149.031,2019-05-14T04:23:08,231.4,100,104
-37.187,149.019,2019-05-14T04:23:08,39.1,84,53
-37.184,149.034,2019-05-14T04:23:08,48.3,87,57
-37.176,149.015,2019-05-14T04:23:08,84.4,94,72
-38.421,147.063,2019-05-14T04:22:54,38.1,86,61
-37.676,141.447,2019-05-14T00:09:15,71.9,85,54
-37.671,141.432,2019-05-14T00:09:15,157.6,95,74
-37.671,141.424,2019-05-14T00:09:15,97.8,89,61
-38.416,147.072,2019-05-14T00:09:10,101.4,100,90
-38.414,147.06,2019-05-14T00:09:10,44.3,91,66
-37.563,143.544,2019-05-14T00:09:07,37.5,81,49
-37.56,143.534,2019-05-14T00:09:06,43.1,84,53
-37.103,148.89,2019-05-14T00:08:45,33.8,88,59
-37.101,148.879,2019-05-14T00:08:45,58.7,95,74
-37.092,148.881,2019-05-14T00:08:44,20,80,47
-37.094,148.892,2019-05-14T00:08:44,26.3,84,52
-37.088,148.897,2019-05-13T13:05:28,17.1,86,40
-36.125,147.474,2019-05-13T03:40:37,99.7,89,60
-36.125,147.478,2019-05-13T03:40:36,130.6,92,68
-37.094,148.882,2019-05-13T03:40:19,130.1,95,76
-37.088,148.906,2019-05-13T03:40:19,53.3,85,53
-37.092,148.902,2019-05-13T03:40:19,96.3,92,68
-37.089,148.887,2019-05-13T03:40:19,105.1,93,70
-37.101,148.889,2019-05-13T03:40:18,173.3,98,84
-37.18,149.023,2019-05-13T03:40:17,48.4,82,50
-38.423,147.074,2019-05-13T03:40:00,95.3,84,58
-38.419,147.081,2019-05-13T03:39:59,111.9,86,61
-38.005,141.207,2019-05-10T04:47:44,29.7,83,52
-38.003,141.219,2019-05-10T04:47:44,178.6,100,105
-38,141.232,2019-05-10T04:47:44,42.8,89,61
-38.532,143.34,2019-05-08T00:46:05,35.7,84,53
-37.369,141.491,2019-05-07T04:17:18,76.6,94,72
-37.087,143.841,2019-05-07T04:17:18,21,82,49
-37.365,143.142,2019-05-07T04:17:15,40.2,89,61
-37.534,142.913,2019-05-07T04:17:13,44.7,90,63
-37.532,142.926,2019-05-07T04:17:13,60.6,93,71
-37.508,143.391,2019-05-07T04:17:12,25.8,84,53
-37.518,143.392,2019-05-07T04:17:12,148.4,100,100
-37.523,143.587,2019-05-07T04:17:12,45.1,91,65
-37.516,143.405,2019-05-07T04:17:12,46.1,91,66
-37.806,142.142,2019-05-07T04:17:10,22.5,80,47
-37.734,142.94,2019-05-07T04:17:10,65.2,94,73
-37.82,143.404,2019-05-07T04:17:07,50.5,92,67
-37.721,146.519,2019-05-07T04:17:02,92.6,100,88
-37.72,146.53,2019-05-07T04:17:02,28.2,85,54
-37.875,146.22,2019-05-07T04:17:00,189.6,100,115
-38.377,147.061,2019-05-07T04:16:50,48.6,93,70
-38.376,147.072,2019-05-07T04:16:50,103.2,100,93
-38.386,147.063,2019-05-07T04:16:50,39.6,91,65
-38.385,147.075,2019-05-07T04:16:50,76,98,83
-37.423,141.389,2019-05-07T00:03:07,106.1,85,55
-37.429,141.417,2019-05-07T00:03:07,98.9,84,53
-37.424,141.425,2019-05-07T00:03:06,107.8,86,55
-37.418,141.397,2019-05-07T00:03:06,190.2,93,69
-38.384,147.072,2019-05-07T00:03:04,38,87,57
-38.374,147.075,2019-05-07T00:03:03,44.4,89,61
-36.207,147.625,2019-05-06T12:59:39,16.2,85,39
-36.445,141.031,2019-05-06T05:12:35,158.6,91,67
-37.573,142.634,2019-05-06T05:12:12,87,82,49
-37.478,143.093,2019-05-06T05:12:12,217.9,91,65
-37.623,142.625,2019-05-06T05:12:11,147.9,88,59
-37.637,142.631,2019-05-06T05:12:11,136.1,87,57
-37.635,142.634,2019-05-06T05:12:10,160.5,89,62
-37.643,142.601,2019-05-06T05:12:10,95.9,83,52
-37.677,142.917,2019-05-06T05:12:09,130.5,85,55
-37.679,142.91,2019-05-06T05:12:09,143.5,86,57
-37.223,143.263,2019-05-06T03:34:17,230.3,85,54
-37.222,143.223,2019-05-06T03:34:16,232.7,84,53
-37.22,143.27,2019-05-06T03:34:16,200.4,83,51
-36.328,141.127,2019-05-05T04:29:52,14.8,80,48
-36.716,141.686,2019-05-04T03:46:45,217.9,89,61
-38.372,147.055,2019-05-04T03:46:13,60.3,80,53
-38.377,147.063,2019-05-04T03:46:12,75.7,84,59
-37.516,143.032,2019-05-03T04:41:43,56.6,92,67
-37.518,143.019,2019-05-03T04:41:43,53,91,66
-38.705,143.308,2019-05-03T00:27:59,53,92,70
-37.619,149.246,2019-05-02T03:58:38,112.1,100,95
-37.618,149.258,2019-05-02T03:58:38,50.7,92,71
-37.533,149.215,2019-05-01T12:40:46,36,97,54
-37.681,148.283,2019-05-01T12:40:45,26.8,90,42
-37.678,148.318,2019-05-01T12:40:45,54.1,100,56
-37.692,148.285,2019-05-01T12:40:45,70.1,100,62
-37.691,148.302,2019-05-01T12:40:45,79.3,100,66
-37.689,148.32,2019-05-01T12:40:45,85.9,100,68
-37.679,148.301,2019-05-01T12:40:45,43.4,100,51
-38.601,143.403,2019-05-01T00:39:50,38.7,84,61
-38.482,143.419,2019-05-01T00:39:48,60.4,94,72
-36.332,147.521,2019-04-30T15:14:10,14.6,80,37
-36.788,146.45,2019-04-30T04:11:12,51.3,94,74
-37.28,147.196,2019-04-30T04:11:03,109.2,94,95
-37.187,149.162,2019-04-30T04:10:59,22.2,81,49
-37.189,149.15,2019-04-30T04:10:59,25.2,83,52
-37.877,146.128,2019-04-30T04:10:55,127.6,87,98
-37.89,146.223,2019-04-30T04:10:55,153.8,100,105
-37.886,146.112,2019-04-30T04:10:55,66.9,91,78
-37.881,146.221,2019-04-30T04:10:55,46.3,87,68
-37.884,146.124,2019-04-30T04:10:55,160.6,94,107
-37.809,147.099,2019-04-30T04:10:54,50.1,94,72
-37.533,149.19,2019-04-30T04:10:54,17.4,81,48
-37.811,147.088,2019-04-30T04:10:54,61.7,96,77
-37.182,149.144,2019-04-29T12:53:11,21.6,98,46
-37.886,146.223,2019-04-29T12:53:06,48.3,100,56
-36.263,141.303,2019-04-29T05:06:34,79.3,85,57
-36.263,141.303,2019-04-29T05:06:34,79.3,85,57
-36.658,141.461,2019-04-29T05:06:27,225.4,98,83
-36.654,141.464,2019-04-29T05:06:27,55.7,80,50
-36.663,141.437,2019-04-29T05:06:27,137.8,92,70
-36.654,141.464,2019-04-29T05:06:27,55.7,80,50
-36.663,141.437,2019-04-29T05:06:27,137.8,92,70
-36.667,141.469,2019-04-29T05:06:27,126.2,91,67
-36.658,141.461,2019-04-29T05:06:27,225.4,98,83
-36.667,141.469,2019-04-29T05:06:27,126.2,91,67
-36.66,141.441,2019-04-29T05:06:27,92.8,87,60
-36.66,141.441,2019-04-29T05:06:27,92.8,87,60
-36.672,141.445,2019-04-29T05:06:27,144.7,93,71
-36.672,141.445,2019-04-29T05:06:27,144.7,93,71
-36.746,141.547,2019-04-29T05:06:26,118.6,90,66
-36.746,141.547,2019-04-29T05:06:26,118.6,90,66
-36.743,141.554,2019-04-29T05:06:25,90.6,87,60
-36.749,141.53,2019-04-29T05:06:25,151.8,93,72
-36.743,141.554,2019-04-29T05:06:25,90.6,87,60
-36.749,141.53,2019-04-29T05:06:25,151.8,93,72
-36.966,141.013,2019-04-29T05:06:24,55.1,81,51
-36.966,141.013,2019-04-29T05:06:24,55.1,81,51
-36.94,141.953,2019-04-29T05:06:21,55.1,80,50
-36.94,141.953,2019-04-29T05:06:21,55.1,80,50
-36.935,141.956,2019-04-29T05:06:21,64.3,82,52
-36.935,141.956,2019-04-29T05:06:21,64.3,82,52
-36.064,145.93,2019-04-29T05:06:20,200.5,85,57
-36.064,145.93,2019-04-29T05:06:20,200.5,85,57
-36.066,145.939,2019-04-29T05:06:19,185.8,84,55
-36.066,145.939,2019-04-29T05:06:19,185.8,84,55
-37.604,142.637,2019-04-29T05:06:08,67.5,82,50
-37.604,142.637,2019-04-29T05:06:08,67.5,82,50
-37.598,142.642,2019-04-29T05:06:08,50.5,80,47
-37.598,142.642,2019-04-29T05:06:08,50.5,80,47
-37.488,143.567,2019-04-29T05:06:07,102.1,85,55
-37.509,143.476,2019-04-29T05:06:07,152.1,90,64
-37.488,143.567,2019-04-29T05:06:07,102.1,85,55
-37.509,143.476,2019-04-29T05:06:07,152.1,90,64
-37.496,143.476,2019-04-29T05:06:06,92.7,85,54
-37.51,143.481,2019-04-29T05:06:06,126.3,88,60
-37.723,142.752,2019-04-29T05:06:06,81.4,85,54
-37.488,143.572,2019-04-29T05:06:06,98.5,85,54
-37.723,142.752,2019-04-29T05:06:06,81.4,85,54
-37.496,143.476,2019-04-29T05:06:06,92.7,85,54
-37.51,143.481,2019-04-29T05:06:06,126.3,88,60
-37.488,143.572,2019-04-29T05:06:06,98.5,85,54
-37.891,143.386,2019-04-29T05:06:01,162.9,92,66
-37.891,143.386,2019-04-29T05:06:01,162.9,92,66
-37.882,146.203,2019-04-29T03:27:56,205.9,85,55
-37.885,146.209,2019-04-29T03:27:55,225.3,87,57
-36.85,142.646,2019-04-28T04:23:35,41.2,91,66
-36.358,146.664,2019-04-28T04:23:34,30.1,85,54
-36.933,143.259,2019-04-28T04:23:33,46.3,93,70
-36.931,143.271,2019-04-28T04:23:33,23.8,84,55
-36.41,141.697,2019-04-27T05:18:41,123.8,83,51
-36.417,141.704,2019-04-27T05:18:41,163.7,86,56
-36.922,143.273,2019-04-26T15:38:59,30.5,100,56
-36.931,143.278,2019-04-26T04:35:48,61,85,75
-36.92,143.288,2019-04-26T04:35:48,114.2,98,94
-36.92,143.273,2019-04-25T14:56:16,79.4,88,41
-37.259,144.285,2019-04-25T13:17:50,23.6,100,50
-37.25,144.283,2019-04-25T13:17:50,13.8,83,39
-37.458,144.308,2019-04-25T13:17:47,26.9,100,53
-36.909,143.291,2019-04-25T03:52:53,183,94,74
-36.911,143.266,2019-04-25T03:52:53,148.8,91,68
-37.258,144.274,2019-04-25T03:52:46,95.9,88,61
-37.753,146.267,2019-04-25T03:52:35,71.6,88,60
-36.913,143.276,2019-04-24T15:51:14,54.4,100,64
-36.903,143.278,2019-04-24T15:51:14,84.5,100,77
-36.905,143.292,2019-04-24T15:51:14,69.8,100,71
-36.912,143.265,2019-04-24T12:34:54,100.9,84,39
-35.39,141.045,2019-04-24T04:48:32,27.3,82,55
-35.383,141.029,2019-04-24T04:48:32,56.4,92,71
-35.38,141.043,2019-04-24T04:48:32,111,100,89
-36.315,141.117,2019-04-24T04:48:17,103.9,100,87
-36.398,141.173,2019-04-24T04:48:16,39.7,88,62
-36.439,140.994,2019-04-24T04:48:15,43.7,89,64
-36.408,141.176,2019-04-24T04:48:15,30.3,84,57
-36.391,141.685,2019-04-24T04:48:14,24.4,80,52
-36.441,141.343,2019-04-24T04:48:14,59.6,93,71
-36.495,141.205,2019-04-24T04:48:14,28.9,83,56
-36.438,141.356,2019-04-24T04:48:14,28.4,82,55
-36.674,141.183,2019-04-24T04:48:11,25,81,54
-36.686,141.172,2019-04-24T04:48:11,151.1,100,100
-36.681,141.199,2019-04-24T04:48:11,22.3,80,52
-36.888,141.384,2019-04-24T04:48:07,26.9,82,54
-36.886,141.397,2019-04-24T04:48:07,42.9,88,63
-36.969,142.036,2019-04-24T04:48:04,90.6,97,80
-36.931,143.247,2019-04-24T04:48:01,33.7,82,54
-36.928,143.263,2019-04-24T04:48:01,62,90,66
-36.939,143.267,2019-04-24T04:48:01,48.2,86,60
-36.918,143.259,2019-04-24T04:48:01,148.6,100,88
-37.766,142.708,2019-04-24T04:47:49,161.7,100,96
-37.698,143.307,2019-04-24T04:47:49,72.8,93,69
-37.712,143.294,2019-04-24T04:47:49,24.4,80,48
-37.709,143.31,2019-04-24T04:47:49,118.9,98,82
-37.957,142.857,2019-04-24T04:47:46,123.8,100,87
-37.936,142.85,2019-04-24T04:47:46,119.6,99,86
-37.974,143.467,2019-04-24T04:47:44,30.2,82,51
-38.09,143.086,2019-04-24T04:47:43,36.6,80,55
-38.199,143.978,2019-04-24T04:47:39,145.1,99,86
-36.222,141.071,2019-04-24T00:33:12,26.9,84,56
-36.92,143.263,2019-04-23T13:30:12,28.5,100,53
-36.343,141.024,2019-04-23T04:05:24,54.6,83,54
-36.643,141.729,2019-04-23T04:05:18,42.6,80,51
-36.93,143.253,2019-04-23T04:05:11,59,88,61
-36.917,143.27,2019-04-23T04:05:11,55.2,87,59
-36.919,143.252,2019-04-23T04:05:11,48.8,85,57
-37.512,142.589,2019-04-23T04:05:02,118.9,95,75
-37.511,142.609,2019-04-23T04:05:02,100.3,93,71
