station,date,air_temperature_celcius,relative_humidity,wind_speed_knots
2002-022A,2009-04-10,14,50.4,12.8
2002-022A,2009-04-11,14,52.5,7
2002-022A,2009-04-12,14,52.4,6.7
2002-022A,2009-04-13,16,54.9,5.9
2002-022A,2009-04-14,13,48.5,5.3
2002-022A,2009-04-15,12,44,4.7
2002-022A,2009-04-16,15,49.3,3.6
2002-022A,2009-04-17,13,51.4,4.6
2002-022A,2009-04-18,15,56.1,5.1
2002-022A,2009-04-19,22,52.8,9.1
2002-022A,2009-04-20,20,53.5,7.2
2002-022A,2009-04-21,17,58.1,11.7
2002-022A,2009-04-22,18,58.9,5.5
2002-022A,2009-04-23,17,59.3,4.2
2002-022A,2009-04-24,19,60.5,7
2002-022A,2009-04-25,14,52.8,9.3
2002-022A,2009-04-26,11,40.8,12.2
2002-022A,2009-04-27,12,48.2,7.3
2002-022A,2009-04-28,16,54.8,8.3
2002-022A,2009-04-29,15,51.9,6.6
2002-022A,2009-04-30,15,45.6,10.2
2002-022A,2009-05-01,14,49.2,10.5
2002-022A,2009-05-02,10,42.6,8.9
2002-022A,2009-05-03,10,43.1,4.7
2002-022A,2009-05-04,10,43.3,2.6
2002-022A,2009-05-05,14,47.4,7.1
2002-022A,2009-05-06,12,45.1,11.9
2002-022A,2009-05-07,12,45,10.5
2002-022A,2009-05-08,12,49.9,6.1
2002-022A,2009-05-09,12,49,4.6
2002-022A,2009-05-10,10,45.7,3.7
2002-022A,2009-05-11,9,45.3,2.5
2002-022A,2009-05-12,14,47.9,5.3
2002-022A,2009-05-13,9,44,2.8
2002-022A,2009-05-14,10,46.8,5.3
2002-022A,2009-05-15,10,47,5.2
2002-022A,2009-05-16,12,48.8,4.2
2002-022A,2009-05-17,13,49.4,3.8
2002-022A,2009-05-18,14,49.9,6.8
2002-022A,2009-05-19,12,51.6,3.4
2002-022A,2009-05-20,14,50.1,8.7
2002-022A,2009-05-21,14,51,9.9
2002-022A,2009-05-22,17,48.7,10.5
2002-022A,2009-05-23,15,49.9,7.9
2002-022A,2009-05-24,14,48.4,7.5
2002-022A,2009-05-25,14,50.7,8.6
2002-022A,2009-05-26,13,48.5,7.1
2002-022A,2009-05-27,14,48.1,13.7
2002-022A,2009-05-28,9,41.2,10
2002-022A,2009-05-29,12,42.8,12.1
2002-022A,2009-05-30,8,41.6,8.3
2002-022A,2009-05-31,11,43.8,6.5
2002-022A,2009-06-01,11,43.2,5.5
2002-022A,2009-06-02,12,47,4.8
2002-022A,2009-06-03,8,43.3,3.9
2002-022A,2009-06-04,9,43.2,4.9
2002-022A,2009-06-05,12,47.6,9.1
2002-022A,2009-06-06,9,40.8,6.7
2002-022A,2009-06-07,8,40.7,5.3
2002-022A,2009-06-08,10,46.3,4.6
2002-022A,2009-06-09,10,47.1,4.6
2002-022A,2009-06-10,8,44.5,4.7
2002-022A,2009-06-11,10,44.9,5.5
2002-022A,2009-06-12,12,49.4,4.4
2002-022A,2009-06-13,8,43.1,3.4
2002-022A,2009-06-14,11,46.4,6.5
2002-022A,2009-06-15,11,45.4,5.2
2002-022A,2009-06-16,8,42.6,2
2002-022A,2009-06-17,10,45.6,4.5
2002-022A,2009-06-18,10,47.9,4.1
2002-022A,2009-06-19,11,45.1,5.6
2002-022A,2009-06-20,11,45.3,10.6
2002-022A,2009-06-21,10,45.9,3.2
2002-022A,2009-06-22,10,41.4,9.4
2002-022A,2009-06-23,11,43.9,11.2
2002-022A,2009-06-24,10,37.9,8.5
2002-022A,2009-06-25,11,44.2,8.7
2002-022A,2009-06-26,10,45.7,3.6
2002-022A,2009-06-27,9,41,8.2
2002-022A,2009-06-28,10,43.7,7.2
2002-022A,2009-06-29,10,42.1,9.4
2002-022A,2009-06-30,5,34.9,4.3
2002-022A,2009-07-01,5,33.1,5.8
2002-022A,2009-07-02,6,30.8,5.7
2002-022A,2009-07-03,11,45.1,11.5
2002-022A,2009-07-04,12,47.2,8.8
2002-022A,2009-07-05,9,42.4,7.2
2002-022A,2009-07-06,9,40.1,7.5
2002-022A,2009-07-07,9,41.2,9.8
2002-022A,2009-07-08,9,42.8,9.3
2002-022A,2009-07-09,10,39.4,9.6
2002-022A,2009-07-10,10,44.4,5.6
2002-022A,2009-07-11,6,39,1.8
2002-022A,2009-07-12,9,39,5.6
2002-022A,2009-07-13,12,40.7,16.7
2002-022A,2009-07-14,9,40,8.6
2002-022A,2009-07-15,6,37.1,5.8
2002-022A,2009-07-16,10,35.6,14.5
2002-022A,2009-07-17,12,41.8,14.7
2002-022A,2009-07-18,10,44.8,8.8
2002-022A,2009-07-19,10,43.5,12
2002-022A,2009-07-20,7,40.5,8.1
2002-022A,2009-07-21,8,39.3,7.7
2002-022A,2009-07-22,11,35.3,18.2
2002-022A,2009-07-23,10,44.7,8
2002-022A,2009-07-24,12,44.7,11.4
2002-022A,2009-07-25,13,44,13.6
2002-022A,2009-07-26,8,43.8,7.3
2002-022A,2009-07-27,11,43.5,13.1
2002-022A,2009-07-28,11,40.5,13.4
2002-022A,2009-07-29,15,41.5,17
2002-022A,2009-07-30,9,42,4.6
2002-022A,2009-07-31,7,40.5,3.1
2002-022A,2009-08-01,7,40.7,3.7
2002-022A,2009-08-02,5,38.6,1.8
2002-022A,2009-08-03,8,44.6,3.9
2002-022A,2009-08-04,10,41,14.1
2002-022A,2009-08-05,11,40.4,19.3
2002-022A,2009-08-06,9,41.1,12.7
2002-022A,2009-08-07,9,42.9,8.9
2002-022A,2009-08-08,12,44.9,7.9
2002-022A,2009-08-09,14,43.7,17
2002-022A,2009-08-10,15,41.6,15
2002-022A,2009-08-11,12,43.9,12
2002-022A,2009-08-12,12,47,7.7
2002-022A,2009-08-13,15,41.2,13.8
2002-022A,2009-08-14,14,44.6,7.7
2002-022A,2009-08-15,14,49.9,13.7
2002-022A,2009-08-16,13,42.5,14
2002-022A,2009-08-17,10,39.9,12.6
2002-022A,2009-08-18,8,41,11
2002-022A,2009-08-19,7,37.9,5.7
2002-022A,2009-08-20,8,37.2,5.5
2002-022A,2009-08-21,9,40.4,6.9
2002-022A,2009-08-22,12,43.3,7
2002-022A,2009-08-23,10,44.1,7.3
2002-022A,2009-08-24,9,42.2,6.4
2002-022A,2009-08-25,12,40.4,5.9
2002-022A,2009-08-26,11,39.7,11.8
2002-022A,2009-08-27,7,37.2,6.2
2002-022A,2009-08-28,8,40.8,5.5
2002-022A,2009-08-29,10,41.4,6.9
2002-022A,2009-08-30,8,39.3,4.7
2002-022A,2009-08-31,8,36.3,6.3
2002-022A,2009-09-01,13,38.4,11.5
2002-022A,2009-09-02,17,38.7,16.8
2002-022A,2009-09-03,12,41,12.9
2002-022A,2009-09-04,8,35,14.4
2002-022A,2009-09-05,8,38.6,12.8
2002-022A,2009-09-06,10,43.7,9.5
2002-022A,2009-09-07,10,43.6,9.7
2002-022A,2009-09-08,9,41.9,9.2
2002-022A,2009-09-09,9,43.9,5.7
2002-022A,2009-09-10,11,41.7,8.7
2002-022A,2009-09-11,14,47.4,10.6
2002-022A,2009-09-12,13,51.1,6
2002-022A,2009-09-13,9,40.1,12.1
2002-022A,2009-09-14,12,44.5,11.1
2002-022A,2009-09-15,11,46.2,10.5
2002-022A,2009-09-16,9,37.9,9.1
2002-022A,2009-09-17,14,36,15.9
2002-022A,2009-09-18,14,39.3,17.7
2002-022A,2009-09-19,9,41.2,6.7
2002-022A,2009-09-20,14,41.7,12.3
2002-022A,2009-09-21,15,47.3,8.6
2002-022A,2009-09-22,20,43.6,10.3
2002-022A,2009-09-23,17,46.3,11.7
2002-022A,2009-09-24,14,44,14.4
2002-022A,2009-09-25,9,42.1,7.6
2002-022A,2009-09-26,11,40.8,6.4
2002-022A,2009-09-27,15,44.8,8.3
2002-022A,2009-09-28,13,43.6,9
2002-022A,2009-09-29,14,41.6,13.1
2002-022A,2009-09-30,11,41.6,7.9
2002-022A,2009-10-01,12,47.9,6.7
2002-022A,2009-10-02,11,44.2,5.8
2002-022A,2009-10-03,13,46.2,5.6
2002-022A,2009-10-04,19,50.3,7.7
2002-022A,2009-10-05,12,47.5,15
2002-022A,2009-10-06,11,45.3,8.5
2002-022A,2009-10-07,17,46.4,9.5
2002-022A,2009-10-08,18,54.6,12
2002-022A,2009-10-09,12,44.4,7.8
2002-022A,2009-10-10,13,42.5,8
2002-022A,2009-10-11,15,48.2,14.7
2002-022A,2009-10-12,15,44.5,10.2
2002-022A,2009-10-13,12,44.2,6.2
2002-022A,2009-10-14,11,43.2,5.9
2002-022A,2009-10-15,13,50.7,6.1
2002-022A,2009-10-16,19,54.3,5.9
2002-022A,2009-10-17,22,46.8,8
2002-022A,2009-10-18,26,52.2,13.7
2002-022A,2009-10-19,15,51,9.6
2002-022A,2009-10-20,13,42,11.4
2002-022A,2009-10-21,12,47.3,9.7
2002-022A,2009-10-22,13,50.3,8.6
2002-022A,2009-10-23,14,49.5,6
2002-022A,2009-10-24,15,53.7,6.8
2002-022A,2009-10-25,14,51,9.1
2002-022A,2009-10-26,13,50.4,7.9
2002-022A,2009-10-27,22,46.9,12.9
2002-022A,2009-10-28,15,48.7,8.5
2002-022A,2009-10-29,17,44.9,16.1
2002-022A,2009-10-30,11,43.2,8.1
2002-022A,2009-10-31,13,47.1,8.1
2002-022A,2009-11-01,13,50.1,8.5
2002-022A,2009-11-02,12,43.8,6.7
2002-022A,2009-11-03,11,40.4,9.2
2002-022A,2009-11-04,11,41.4,7.7
2002-022A,2009-11-05,13,43.3,9.4
2002-022A,2009-11-06,13,44.1,12.9
2002-022A,2009-11-07,12,42.7,10
2002-022A,2009-11-08,12,46.6,6.7
2002-022A,2009-11-09,14,50.9,5.9
2002-022A,2009-11-10,18,53.8,6.4
2002-022A,2009-11-11,18,55.6,8.2
2002-022A,2009-11-12,18,53.8,6.7
2002-022A,2009-11-13,24,51.9,7.3
2002-022A,2009-11-14,28,48.3,11.9
2002-022A,2009-11-15,21,58.8,8.8
2002-022A,2009-11-16,18,61.5,5.5
2002-022A,2009-11-17,19,58.7,5.5
2002-022A,2009-11-18,20,58.4,4.7
2002-022A,2009-11-19,22,57,8.5
2002-022A,2009-11-20,24,55.5,7.9
2002-022A,2009-11-21,24,51.8,7.9
2002-022A,2009-11-22,23,49.6,6.3
2002-022A,2009-11-23,24,56.8,5.7
2002-022A,2009-11-24,23,58.8,9.1
2002-022A,2009-11-25,24,60.1,8
2002-022A,2009-11-26,20,60.8,10.4
2002-022A,2009-11-27,17,52.7,7.7
2002-022A,2009-11-28,23,58.8,8.8
2002-022A,2009-11-29,28,56.7,9.3
2002-022A,2009-11-30,26,61,9.3
2002-022A,2009-12-01,17,59,9.4
2002-022A,2009-12-02,15,56.2,16.9
2002-022A,2009-12-03,14,48.2,12.5
2002-022A,2009-12-04,14,48.2,9.1
2002-022A,2009-12-05,17,53,14.6
2002-022A,2009-12-06,16,51.7,7.4
2002-022A,2009-12-07,15,51,9
2002-022A,2009-12-08,15,48.1,7.9
2002-022A,2009-12-09,17,53.6,7.6
2002-022A,2009-12-10,17,53.5,7.3
2002-022A,2009-12-11,17,52,8.8
2002-022A,2009-12-12,19,55.3,6.2
2002-022A,2009-12-13,28,49.9,11
2002-022A,2009-12-14,17,52.5,7.7
2002-022A,2009-12-15,18,52,7.1
2002-022A,2009-12-16,18,53.7,9
2002-022A,2009-12-17,21,58.7,7.8
2002-022A,2009-12-18,25,60.9,6.3
2002-022A,2009-12-19,21,57.4,10.7
2002-022A,2009-12-20,17,51.2,9.9
2002-022A,2009-12-21,17,52.5,5.7
2002-022A,2009-12-22,19,55.8,6
2002-022A,2009-12-23,19,53.9,8.3
2002-022A,2009-12-24,16,47,12
2002-022A,2009-12-25,17,50.4,10.8
2002-022A,2009-12-26,22,55.5,10.3
2002-022A,2009-12-27,28,58.3,9.3
2002-022A,2009-12-28,21,61.1,6.6
2002-022A,2009-12-29,19,59.7,7.4
2002-022A,2009-12-30,16,51.5,8.7
2002-022A,2009-12-31,18,53.6,7.9
2002-022A,2010-01-01,19,52.9,8.1
2002-022A,2010-01-02,19,56.8,7.9
2002-022A,2010-01-03,15,50.7,9.2
2002-022A,2010-01-04,16,53.6,8.1
2002-022A,2010-01-05,24,61.6,7.7
2002-022A,2010-01-06,24,62.3,7
2002-022A,2010-01-07,26,60.8,6.9
2002-022A,2010-01-08,32,54.1,12.8
2002-022A,2010-01-09,20,57.7,9.9
2002-022A,2010-01-10,19,56.3,5.8
2002-022A,2010-01-11,20,57,8.7
2002-022A,2010-01-12,18,53.3,7.9
2002-022A,2010-01-13,22,56.3,8
2002-022A,2010-01-14,19,54.1,11.2
2002-022A,2010-01-15,17,50.4,11.9
2002-022A,2010-01-16,16,50.8,5.8
2002-022A,2010-01-17,24,55.4,5.9
2002-022A,2010-01-18,24,53.4,9.9
2002-022A,2010-01-19,16,46.7,10
2002-022A,2010-01-20,19,57.2,8.9
2002-022A,2010-01-21,16,50.9,12.9
2002-022A,2010-01-22,17,52.5,6.7
2002-022A,2010-01-23,23,59,6
2002-022A,2010-01-24,25,58.3,12.2
2002-022A,2010-01-25,16,48.2,9.9
2002-022A,2010-01-26,17,50.8,9
2002-022A,2010-01-27,18,53.5,8.8
2002-022A,2010-01-28,19,56.1,6.9
2002-022A,2010-01-29,18,57,7.4
2002-022A,2010-01-30,22,58,6.9
2002-022A,2010-01-31,20,55.8,10.5
2002-022A,2010-02-01,16,48.4,8.1
2002-022A,2010-02-02,16,48.9,5.4
2002-022A,2010-02-03,18,53,6.6
2002-022A,2010-02-04,18,54.4,5.7
2002-022A,2010-02-05,26,53.7,8.7
2002-022A,2010-02-06,21,64.5,10.6
2002-022A,2010-02-07,16,48.1,9.3
2002-022A,2010-02-08,20,57.4,10.9
2002-022A,2010-02-09,31,61.9,14.1
2002-022A,2010-02-10,22,62.7,7.6
2002-022A,2010-02-11,21,60.4,6.8
2002-022A,2010-02-12,19,53.8,9.2
2002-022A,2010-02-13,16,48.3,14.4
2002-022A,2010-02-14,16,53.6,12.1
2002-022A,2010-02-15,14,48.5,7.3
2002-022A,2010-02-16,22,53.4,10.9
2002-022A,2010-02-17,18,53.6,7.2
2002-022A,2010-02-18,18,49.4,9.3
2002-022A,2010-02-19,15,44.6,9.7
2002-022A,2010-02-20,13,48.5,10.7
2002-022A,2010-02-21,15,49.1,9.6
2002-022A,2010-02-22,16,51,6
2002-022A,2010-02-23,23,49.6,10
2002-022A,2010-02-24,18,55.5,8.9
2002-022A,2010-02-25,16,48.3,9.4
2002-022A,2010-02-26,17,52.6,10.3
2002-022A,2010-02-27,21,54.9,7.4
2002-022A,2010-02-28,24,55.6,5.9
2002-022A,2010-03-01,23,54.1,5.7
2002-022A,2010-03-02,21,57.3,5.4
2002-022A,2010-03-03,20,62.6,10.1
2002-022A,2010-03-04,21,59.5,12.4
2002-022A,2010-03-05,22,62,7.9
2002-022A,2010-03-06,20,58.8,11.5
2002-022A,2010-03-07,20,52.9,17
2002-022A,2010-03-08,19,51.5,10.2
2002-022A,2010-03-09,21,51.7,7.2
2002-022A,2010-03-10,23,53.4,6.1
2002-022A,2010-03-11,19,60.2,6.4
2002-022A,2010-03-12,20,59.7,8.6
2002-022A,2010-03-13,21,58.1,5.3
2002-022A,2010-03-14,20,62.2,7.1
2002-022A,2010-03-15,25,58.3,7.1
2002-022A,2010-03-16,28,58.4,11.9
2002-022A,2010-03-17,18,53.3,10.8
2002-022A,2010-03-18,18,51.1,8.1
2002-022A,2010-03-19,21,52.8,4.1
2002-022A,2010-03-20,24,55.2,5.8
2002-022A,2010-03-21,23,63.8,7.1
2002-022A,2010-03-22,20,67.4,8.5
2002-022A,2010-03-23,18,57.5,16.1
2002-022A,2010-03-24,18,55.6,12.8
2002-022A,2010-03-25,20,58.4,6.1
2002-022A,2010-03-26,23,61.9,8
2002-022A,2010-03-27,23,60.6,10.1
2002-022A,2010-03-28,17,53.4,9.4
2002-022A,2010-03-29,18,50.6,6
2002-022A,2010-03-30,17,49.9,12.2
2002-022A,2010-03-31,13,47,7.9
2002-022A,2010-04-01,14,45.8,6.5
2002-022A,2010-04-02,14,45.7,9.2
2002-022A,2010-04-03,12,43.4,9.3
2002-022A,2010-04-04,15,47.7,5.9
2002-022A,2010-04-05,16,47.5,5.4
2002-022A,2010-04-06,17,47.2,4.9
2002-022A,2010-04-07,19,44.2,7.8
2002-022A,2010-04-08,21,47,13.2
2002-022A,2010-04-09,19,52.8,12.5
2002-022A,2010-04-10,11,48.2,10.8
2002-022A,2010-04-11,14,50.4,12.8
2002-022A,2010-04-12,14,52.5,7
2002-022A,2010-04-13,14,52.4,6.7
2002-022A,2010-04-14,16,54.9,5.9
2002-022A,2010-04-15,13,48.5,5.3
2002-022A,2010-04-16,12,44,4.7
2002-022A,2010-04-17,15,49.3,3.6
2002-022A,2010-04-18,13,51.4,4.6
2002-022A,2010-04-19,15,56.1,5.1
2002-022A,2010-04-20,22,52.8,9.1
2002-022A,2010-04-21,20,53.5,7.2
2002-022A,2010-04-22,17,58.1,11.7
2002-022A,2010-04-23,18,58.9,5.5
2002-022A,2010-04-24,17,59.3,4.2
2002-022A,2010-04-25,19,60.5,7
2002-022A,2010-04-26,14,52.8,9.3
2002-022A,2010-04-27,11,40.8,12.2
2002-022A,2010-04-28,12,48.2,7.3
2002-022A,2010-04-29,16,54.8,8.3
2002-022A,2010-04-30,15,51.9,6.6
2002-022A,2010-05-01,15,45.6,10.2
2002-022A,2010-05-02,14,49.2,10.5
2002-022A,2010-05-03,10,42.6,8.9
2002-022A,2010-05-04,10,43.1,4.7
2002-022A,2010-05-05,10,43.3,2.6
2002-022A,2010-05-06,14,47.4,7.1
2002-022A,2010-05-07,12,45.1,11.9
2002-022A,2010-05-08,12,45,10.5
2002-022A,2010-05-09,12,49.9,6.1
2002-022A,2010-05-10,12,49,4.6
2002-022A,2010-05-11,10,45.7,3.7
2002-022A,2010-05-12,9,45.3,2.5
2002-022A,2010-05-13,14,47.9,5.3
2002-022A,2010-05-14,9,44,2.8
2002-022A,2010-05-15,10,46.8,5.3
2002-022A,2010-05-16,10,47,5.2
2002-022A,2010-05-17,12,48.8,4.2
2002-022A,2010-05-18,13,49.4,3.8
2002-022A,2010-05-19,14,49.9,6.8
2002-022A,2010-05-20,12,51.6,3.4
2002-022A,2010-05-21,14,50.1,8.7
2002-022A,2010-05-22,14,51,9.9
2002-022A,2010-05-23,17,48.7,10.5
2002-022A,2010-05-24,15,49.9,7.9
2002-022A,2010-05-25,14,48.4,7.5
2002-022A,2010-05-26,14,50.7,8.6
2002-022A,2010-05-27,13,48.5,7.1
2002-022A,2010-05-28,14,48.1,13.7
2002-022A,2010-05-29,9,41.2,10
2002-022A,2010-05-30,12,42.8,12.1
2002-022A,2010-05-31,8,41.6,8.3
2002-022A,2010-06-01,11,43.8,6.5
2002-022A,2010-06-02,11,43.2,5.5
2002-022A,2010-06-03,12,47,4.8
2002-022A,2010-06-04,8,43.3,3.9
2002-022A,2010-06-05,9,43.2,4.9
2002-022A,2010-06-06,12,47.6,9.1
2002-022A,2010-06-07,9,40.8,6.7
2002-022A,2010-06-08,8,40.7,5.3
2002-022A,2010-06-09,10,46.3,4.6
2002-022A,2010-06-10,10,47.1,4.6
2002-022A,2010-06-11,8,44.5,4.7
2002-022A,2010-06-12,10,44.9,5.5
2002-022A,2010-06-13,12,49.4,4.4
2002-022A,2010-06-14,8,43.1,3.4
2002-022A,2010-06-15,11,46.4,6.5
2002-022A,2010-06-16,11,45.4,5.2
2002-022A,2010-06-17,8,42.6,2
2002-022A,2010-06-18,10,45.6,4.5
2002-022A,2010-06-19,10,47.9,4.1
2002-022A,2010-06-20,11,45.1,5.6
2002-022A,2010-06-21,11,45.3,10.6
2002-022A,2010-06-22,10,45.9,3.2
2002-022A,2010-06-23,10,41.4,9.4
2002-022A,2010-06-24,11,43.9,11.2
2002-022A,2010-06-25,10,37.9,8.5
2002-022A,2010-06-26,11,44.2,8.7
2002-022A,2010-06-27,10,45.7,3.6
2002-022A,2010-06-28,9,41,8.2
2002-022A,2010-06-29,10,43.7,7.2
2002-022A,2010-06-30,10,42.1,9.4
2002-022A,2010-07-01,5,34.9,4.3
2002-022A,2010-07-02,5,33.1,5.8
2002-022A,2010-07-03,6,30.8,5.7
2002-022A,2010-07-04,11,45.1,11.5
2002-022A,2010-07-05,12,47.2,8.8
2002-022A,2010-07-06,9,42.4,7.2
2002-022A,2010-07-07,9,40.1,7.5
2002-022A,2010-07-08,9,41.2,9.8
2002-022A,2010-07-09,9,42.8,9.3
2002-022A,2010-07-10,10,39.4,9.6
2002-022A,2010-07-11,10,44.4,5.6
2002-022A,2010-07-12,6,39,1.8
2002-022A,2010-07-13,9,39,5.6
2002-022A,2010-07-14,12,40.7,16.7
2002-022A,2010-07-15,9,40,8.6
2002-022A,2010-07-16,6,37.1,5.8
2002-022A,2010-07-17,10,35.6,14.5
2002-022A,2010-07-18,12,41.8,14.7
2002-022A,2010-07-19,10,44.8,8.8
2002-022A,2010-07-20,10,43.5,12
2002-022A,2010-07-21,7,40.5,8.1
2002-022A,2010-07-22,8,39.3,7.7
2002-022A,2010-07-23,11,35.3,18.2
2002-022A,2010-07-24,10,44.7,8
2002-022A,2010-07-25,12,44.7,11.4
2002-022A,2010-07-26,13,44,13.6
2002-022A,2010-07-27,8,43.8,7.3
2002-022A,2010-07-28,11,43.5,13.1
2002-022A,2010-07-29,11,40.5,13.4
2002-022A,2010-07-30,15,41.5,17
2002-022A,2010-07-31,9,42,4.6
2002-022A,2010-08-01,7,40.5,3.1
2002-022A,2010-08-02,7,40.7,3.7
2002-022A,2010-08-03,5,38.6,1.8
2002-022A,2010-08-04,8,44.6,3.9
2002-022A,2010-08-05,10,41,14.1
2002-022A,2010-08-06,11,40.4,19.3
2002-022A,2010-08-07,9,41.1,12.7
2002-022A,2010-08-08,9,42.9,8.9
2002-022A,2010-08-09,12,44.9,7.9
2002-022A,2010-08-10,14,43.7,17
2002-022A,2010-08-11,15,41.6,15
2002-022A,2010-08-12,12,43.9,12
2002-022A,2010-08-13,12,47,7.7
2002-022A,2010-08-14,15,41.2,13.8
2002-022A,2010-08-15,14,44.6,7.7
2002-022A,2010-08-16,14,49.9,13.7
2002-022A,2010-08-17,13,42.5,14
2002-022A,2010-08-18,10,39.9,12.6
2002-022A,2010-08-19,8,41,11
2002-022A,2010-08-20,7,37.9,5.7
2002-022A,2010-08-21,8,37.2,5.5
2002-022A,2010-08-22,9,40.4,6.9
2002-022A,2010-08-23,12,43.3,7
2002-022A,2010-08-24,10,44.1,7.3
2002-022A,2010-08-25,9,42.2,6.4
2002-022A,2010-08-26,12,40.4,5.9
2002-022A,2010-08-27,11,39.7,11.8
2002-022A,2010-08-28,7,37.2,6.2
2002-022A,2010-08-29,8,40.8,5.5
2002-022A,2010-08-30,10,41.4,6.9
2002-022A,2010-08-31,8,39.3,4.7
2002-022A,2010-09-01,8,36.3,6.3
2002-022A,2010-09-02,13,38.4,11.5
2002-022A,2010-09-03,17,38.7,16.8
2002-022A,2010-09-04,12,41,12.9
2002-022A,2010-09-05,8,35,14.4
2002-022A,2010-09-06,8,38.6,12.8
2002-022A,2010-09-07,10,43.7,9.5
2002-022A,2010-09-08,10,43.6,9.7
2002-022A,2010-09-09,9,41.9,9.2
