latitude,longitude,power,confidence,surface_temperature_celcius
-37.472,143.185,35.6,86,56
-37.523,143.492,34.8,86,55
-37.525,143.478,33,85,54
-37.523,143.483,57.6,92,67
-37.775,142.684,28.6,85,54
-37.589,143.458,44.2,88,60
-38.248,146.305,75.1,97,79
-37.501,142.384,224.6,100,118
-37.495,142.379,156.2,100,104
-37.497,142.391,93.9,99,87
-37.318,143.355,14.1,80,37
-36.813,141.751,61.9,80,47
-36.607,144.91,36,83,51
-37.371,141.477,163.3,92,67
-37.497,142.388,152.9,93,69
-37.494,142.394,151.9,93,69
-37.677,142.878,58.5,82,50
-37.831,145.703,175.6,100,93
-37.844,145.709,35.2,82,50
-37.407,147.513,41.6,95,44
-36.38,141.434,41,85,55
-36.394,141.422,65.8,91,65
-36.391,141.438,57,89,62
-36.392,141.416,47.5,87,58
-36.389,141.432,131.4,99,84
-36.383,141.419,94.6,95,75
-36.984,141.431,43,86,55
-37.114,141.056,29.2,82,49
-36.986,141.917,67.8,90,64
-36.431,144.803,140.5,92,67
-36.437,144.799,123.3,90,64
-37.164,141.581,35.7,83,51
-37.378,141.489,113.3,97,81
-37.375,141.505,183.1,100,96
-37.454,141.585,113,97,80
-37.464,141.588,81.6,93,70
-37.457,141.76,32.2,81,49
-37.232,143.255,60.3,85,54
-37.809,141.16,43,87,57
-37.488,142.742,47.4,84,53
-37.807,141.175,26.8,80,47
-37.494,143.4,112.3,93,70
-37.489,143.393,76.2,89,60
-37.485,143.413,57.9,85,55
-37.952,141.044,38.8,86,56
-37.962,141.047,93.3,96,78
-37.419,147.476,102.8,80,47
-37.948,141.053,46.1,93,69
-37.957,141.051,169.2,100,111
-37.461,141.694,28.2,86,56
-37.46,141.682,74.5,98,82
-37.452,141.696,20.7,81,49
-37.465,141.588,33.4,88,59
-37.455,141.59,123.5,100,99
-37.451,141.684,41.1,91,65
-37.454,141.579,60.6,95,76
-37.313,143.361,23.7,82,50
-37.88,146.138,16.4,80,37
-37.888,146.135,38.9,93,43
-36.432,141.187,52.5,86,57
-36.429,141.193,73.7,90,64
-36.53,141.797,39,82,52
-36.532,141.78,39.5,83,52
-36.744,141.58,34.7,82,51
-36.744,141.591,32.1,80,48
-36.897,141.877,41.8,85,54
-36.899,141.866,35.6,83,51
-36.632,146.662,49,93,70
-36.631,146.674,76.3,98,83
-36.641,146.664,115.4,100,96
-36.64,146.676,196.4,100,116
-37.486,142.346,36.4,82,50
-37.49,143.409,225.2,100,107
-37.491,143.394,29.5,82,50
-37.216,146.826,24.1,83,51
-37.225,146.829,24.1,84,53
-37.789,142.599,29.8,80,48
-37.833,143.333,86.3,95,75
-37.999,141.732,40.8,82,50
-38.02,141.741,41.2,83,51
-37.726,144.193,36.1,86,56
-37.209,148.83,78.2,98,81
-38.051,141.651,92,92,67
-37.21,148.818,29.1,85,54
-37.904,146.22,55.7,94,73
-37.919,146.248,66.4,96,78
-37.19,149.032,83,80,48
-37.187,149.026,99.9,84,53
-36.437,140.983,35.6,87,58
-37.672,141.431,46.4,85,64
-37.662,141.429,138.9,94,96
-37.673,141.417,65.5,94,72
-37.19,149.025,33.8,81,48
-37.177,149.037,143.3,100,88
-37.173,149.031,231.4,100,104
-37.187,149.019,39.1,84,53
-37.184,149.034,48.3,87,57
-37.176,149.015,84.4,94,72
-38.421,147.063,38.1,86,61
-37.676,141.447,71.9,85,54
-37.671,141.432,157.6,95,74
-37.671,141.424,97.8,89,61
-38.416,147.072,101.4,100,90
-38.414,147.06,44.3,91,66
-37.563,143.544,37.5,81,49
-37.56,143.534,43.1,84,53
-37.103,148.89,33.8,88,59
-37.101,148.879,58.7,95,74
-37.092,148.881,20,80,47
-37.094,148.892,26.3,84,52
-37.088,148.897,17.1,86,40
-36.125,147.474,99.7,89,60
-36.125,147.478,130.6,92,68
-37.094,148.882,130.1,95,76
-37.088,148.906,53.3,85,53
-37.092,148.902,96.3,92,68
-37.089,148.887,105.1,93,70
-37.101,148.889,173.3,98,84
-37.18,149.023,48.4,82,50
-38.423,147.074,95.3,84,58
-38.419,147.081,111.9,86,61
-38.005,141.207,29.7,83,52
-38.003,141.219,178.6,100,105
-38,141.232,42.8,89,61
-38.532,143.34,35.7,84,53
-37.369,141.491,76.6,94,72
-37.087,143.841,21,82,49
-37.365,143.142,40.2,89,61
-37.534,142.913,44.7,90,63
-37.532,142.926,60.6,93,71
-37.508,143.391,25.8,84,53
-37.518,143.392,148.4,100,100
-37.523,143.587,45.1,91,65
-37.516,143.405,46.1,91,66
-37.806,142.142,22.5,80,47
-37.734,142.94,65.2,94,73
-37.82,143.404,50.5,92,67
-37.721,146.519,92.6,100,88
-37.72,146.53,28.2,85,54
-37.875,146.22,189.6,100,115
-38.377,147.061,48.6,93,70
-38.376,147.072,103.2,100,93
-38.386,147.063,39.6,91,65
-38.385,147.075,76,98,83
-37.423,141.389,106.1,85,55
-37.429,141.417,98.9,84,53
-37.424,141.425,107.8,86,55
-37.418,141.397,190.2,93,69
-38.384,147.072,38,87,57
-38.374,147.075,44.4,89,61
-36.207,147.625,16.2,85,39
-36.445,141.031,158.6,91,67
-37.573,142.634,87,82,49
-37.478,143.093,217.9,91,65
-37.623,142.625,147.9,88,59
-37.637,142.631,136.1,87,57
-37.635,142.634,160.5,89,62
-37.643,142.601,95.9,83,52
-37.677,142.917,130.5,85,55
-37.679,142.91,143.5,86,57
-37.223,143.263,230.3,85,54
-37.222,143.223,232.7,84,53
-37.22,143.27,200.4,83,51
-36.328,141.127,14.8,80,48
-36.716,141.686,217.9,89,61
-38.372,147.055,60.3,80,53
-38.377,147.063,75.7,84,59
-37.516,143.032,56.6,92,67
-37.518,143.019,53,91,66
-38.705,143.308,53,92,70
-37.619,149.246,112.1,100,95
-37.618,149.258,50.7,92,71
-37.533,149.215,36,97,54
-37.681,148.283,26.8,90,42
-37.678,148.318,54.1,100,56
-37.692,148.285,70.1,100,62
-37.691,148.302,79.3,100,66
-37.689,148.32,85.9,100,68
-37.679,148.301,43.4,100,51
-38.601,143.403,38.7,84,61
-38.482,143.419,60.4,94,72
-36.332,147.521,14.6,80,37
-36.788,146.45,51.3,94,74
-37.28,147.196,109.2,94,95
-37.187,149.162,22.2,81,49
-37.189,149.15,25.2,83,52
-37.877,146.128,127.6,87,98
-37.89,146.223,153.8,100,105
-37.886,146.112,66.9,91,78
-37.881,146.221,46.3,87,68
-37.884,146.124,160.6,94,107
-37.809,147.099,50.1,94,72
-37.533,149.19,17.4,81,48
-37.811,147.088,61.7,96,77
-37.182,149.144,21.6,98,46
-37.886,146.223,48.3,100,56
-36.263,141.303,79.3,85,57
-36.263,141.303,79.3,85,57
-36.658,141.461,225.4,98,83
-36.654,141.464,55.7,80,50
-36.663,141.437,137.8,92,70
-36.654,141.464,55.7,80,50
-36.663,141.437,137.8,92,70
-36.667,141.469,126.2,91,67
-36.658,141.461,225.4,98,83
-36.667,141.469,126.2,91,67
-36.66,141.441,92.8,87,60
-36.66,141.441,92.8,87,60
-36.672,141.445,144.7,93,71
-36.672,141.445,144.7,93,71
-36.746,141.547,118.6,90,66
-36.746,141.547,118.6,90,66
-36.743,141.554,90.6,87,60
-36.749,141.53,151.8,93,72
-36.743,141.554,90.6,87,60
-36.749,141.53,151.8,93,72
-36.966,141.013,55.1,81,51
-36.966,141.013,55.1,81,51
-36.94,141.953,55.1,80,50
-36.94,141.953,55.1,80,50
-36.935,141.956,64.3,82,52
-36.935,141.956,64.3,82,52
-36.064,145.93,200.5,85,57
-36.064,145.93,200.5,85,57
-36.066,145.939,185.8,84,55
-36.066,145.939,185.8,84,55
-37.604,142.637,67.5,82,50
-37.604,142.637,67.5,82,50
-37.598,142.642,50.5,80,47
-37.598,142.642,50.5,80,47
-37.488,143.567,102.1,85,55
-37.509,143.476,152.1,90,64
-37.488,143.567,102.1,85,55
-37.509,143.476,152.1,90,64
-37.496,143.476,92.7,85,54
-37.51,143.481,126.3,88,60
-37.723,142.752,81.4,85,54
-37.488,143.572,98.5,85,54
-37.723,142.752,81.4,85,54
-37.496,143.476,92.7,85,54
-37.51,143.481,126.3,88,60
-37.488,143.572,98.5,85,54
-37.891,143.386,162.9,92,66
-37.891,143.386,162.9,92,66
-37.882,146.203,205.9,85,55
-37.885,146.209,225.3,87,57
-36.85,142.646,41.2,91,66
-36.358,146.664,30.1,85,54
-36.933,143.259,46.3,93,70
-36.931,143.271,23.8,84,55
-36.41,141.697,123.8,83,51
-36.417,141.704,163.7,86,56
-36.922,143.273,30.5,100,56
-36.931,143.278,61,85,75
-36.92,143.288,114.2,98,94
-36.92,143.273,79.4,88,41
-37.259,144.285,23.6,100,50
-37.25,144.283,13.8,83,39
-37.458,144.308,26.9,100,53
-36.909,143.291,183,94,74
-36.911,143.266,148.8,91,68
-37.258,144.274,95.9,88,61
-37.753,146.267,71.6,88,60
-36.913,143.276,54.4,100,64
-36.903,143.278,84.5,100,77
-36.905,143.292,69.8,100,71
-36.912,143.265,100.9,84,39
-35.39,141.045,27.3,82,55
-35.383,141.029,56.4,92,71
-35.38,141.043,111,100,89
-36.315,141.117,103.9,100,87
-36.398,141.173,39.7,88,62
-36.439,140.994,43.7,89,64
-36.408,141.176,30.3,84,57
-36.391,141.685,24.4,80,52
-36.441,141.343,59.6,93,71
-36.495,141.205,28.9,83,56
-36.438,141.356,28.4,82,55
-36.674,141.183,25,81,54
-36.686,141.172,151.1,100,100
-36.681,141.199,22.3,80,52
-36.888,141.384,26.9,82,54
-36.886,141.397,42.9,88,63
-36.969,142.036,90.6,97,80
-36.931,143.247,33.7,82,54
-36.928,143.263,62,90,66
-36.939,143.267,48.2,86,60
-36.918,143.259,148.6,100,88
-37.766,142.708,161.7,100,96
-37.698,143.307,72.8,93,69
-37.712,143.294,24.4,80,48
-37.709,143.31,118.9,98,82
-37.957,142.857,123.8,100,87
-37.936,142.85,119.6,99,86
-37.974,143.467,30.2,82,51
-38.09,143.086,36.6,80,55
-38.199,143.978,145.1,99,86
-36.222,141.071,26.9,84,56
-36.92,143.263,28.5,100,53
-36.343,141.024,54.6,83,54
-36.643,141.729,42.6,80,51
-36.93,143.253,59,88,61
-36.917,143.27,55.2,87,59
-36.919,143.252,48.8,85,57
-37.512,142.589,118.9,95,75
-37.511,142.609,100.3,93,71
-37.546,142.614,46.8,84,55
-37.575,142.557,44.2,84,55
-37.581,142.563,113.1,94,74
-37.612,142.608,98.3,93,70
-37.871,141.86,82.5,88,61
-37.783,142.724,46.9,85,56
-37.913,142.142,68.5,86,59
-37.911,142.163,110,92,70
-37.95,142.879,39,82,52
-37.951,142.86,46.4,84,55
-37.033,141.713,39.6,80,49
-37.103,141.364,97.4,92,69
-37.46,142.919,232.3,99,86
-37.299,143.918,89.2,84,54
-37.3,143.898,100.6,86,56
-37.711,142.112,51.5,84,54
-37.635,143.04,58.5,83,53
-37.755,142.798,40.5,80,48
-37.767,142.802,65.7,86,57
-37.762,143.197,46.7,81,50
-37.754,143.17,52.1,83,51
-37.767,143.174,87.1,89,61
-37.749,143.193,60.8,84,54
-37.289,146.112,25.5,100,49
-37.479,149.448,20.1,100,50
-37.981,143.926,97.4,80,52
-38.099,143.773,103.6,82,54
-37.186,142.596,15.9,86,40
-37.294,146.128,26.1,100,51
-37.304,146.126,13.5,83,38
-36.703,146.583,13.7,84,39
-37.192,142.581,20.5,83,52
-37.203,142.7,22.6,84,55
-37.2,142.594,23.1,84,55
-36.664,146.503,49.1,90,65
-36.674,146.506,43.4,88,62
-37.504,142.914,66.2,83,81
-37.513,142.911,73.1,99,85
-37.437,143.621,85.6,100,88
-37.536,142.882,40.4,92,70
-37.373,144.56,22.5,82,53
-37.372,144.571,195.1,100,114
-37.309,146.117,32.9,84,58
-37.991,143.424,35.9,90,65
-37.989,143.436,28.7,87,61
-37.976,143.586,22.5,84,56
-37.338,146.127,20.8,83,38
-36.661,146.503,107.3,92,68
-36.664,146.509,95.2,90,64
-37.061,148.775,31.9,89,43
-36.28,147.827,27.5,81,57
-36.901,141.501,85.6,83,60
-36.894,147.965,27.5,84,54
-36.994,148.556,24.5,84,53
-37.329,146.116,50,85,64
-37.341,146.104,34.9,82,55
-37.036,148.748,74,97,81
-37.31,146.099,27,81,51
-37.034,148.76,40.6,91,65
-37.708,147.952,19.6,80,49
-37.046,148.764,23.9,86,40
-37.916,143.371,39.8,83,51
-37.936,143.275,101.6,93,71
-37.974,143.267,62.5,88,61
-37.962,143.263,66.8,89,62
-37.94,143.255,137,97,79
-37.786,146.033,146.6,85,64
-38.01,144.341,55.3,93,71
-38.011,144.355,35.2,87,61
-37.66,146.055,32,100,52
-36.199,146.923,82.3,100,88
-36.19,146.921,18.1,82,56
-36.2,146.912,18.9,81,55
-36.197,146.934,69,98,83
-36.961,148.561,24.8,85,55
-37.453,145.941,50.7,92,69
-37.756,144.232,20.8,82,52
-37.985,143.374,26.6,82,54
-37.981,143.38,30.5,84,56
-37.658,146.123,31.3,86,57
-37.659,146.112,34,87,59
-37.983,143.365,25.7,82,54
-37.651,146.116,57.2,94,72
-37.785,146.277,48.3,92,68
-37.784,146.288,128.9,100,99
-37.905,145.845,32.5,86,58
-37.708,147.945,24.9,85,55
-37.706,147.956,25.1,85,55
-37.681,147.997,18.9,82,50
-38.175,144.461,19,80,51
-37.896,145.847,23.6,84,39
-37.906,145.851,53.4,100,57
-36.283,141.42,30.1,84,61
-36.361,141.096,32.9,85,62
-36.286,141.743,21.9,81,57
-36.364,141.089,40.1,88,66
-36.409,141.044,39.4,87,65
-36.449,141.038,36.1,86,63
-36.442,141.372,45.3,90,69
-36.538,142.376,57,95,77
-36.732,141.061,43.2,89,67
-36.732,141.055,25.5,80,56
-36.767,141.79,129.8,100,98
-36.761,142.631,21.4,81,57
-36.814,142.51,19.3,80,55
-36.847,142.68,33,88,65
-36.204,146.913,60.3,94,74
-36.202,146.925,61.9,94,75
-36.848,142.668,52.1,94,75
-36.899,142.756,42.8,92,71
-36.977,142.664,26.5,85,60
-36.348,146.719,35,86,60
-37.19,143.809,30.9,88,64
-36.856,146.27,51,93,70
-36.847,146.267,176.2,100,109
-36.876,146.262,43.7,91,66
-36.886,146.264,32.4,87,59
-36.845,146.28,75.9,97,81
-37.284,143.86,22.4,83,57
-37.286,143.848,27,86,61
-37.594,142.712,20.5,82,55
-37.593,142.724,16.5,80,52
-37.679,143.25,26.5,86,60
-37.81,142.309,20.9,82,54
-37.799,142.319,21.5,82,55
-37.688,143.252,93.3,100,91
-37.801,142.307,49.1,93,71
-37.79,142.317,28.8,86,59
-37.791,142.305,18.2,80,52
-37.747,143.283,48.8,93,73
-37.843,142.695,22.8,84,57
-37.755,143.296,31,88,63
-37.756,143.284,23.4,84,57
-37.746,143.294,28.2,86,61
-37.833,142.693,22.6,84,57
-37.912,142.523,70.4,97,81
-37.784,143.493,16.4,80,53
-37.89,142.618,51.1,94,73
-37.881,143.185,27.4,86,60
-37.865,143.446,38.5,90,68
-37.989,142.344,59.1,94,75
-37.972,142.703,24.2,84,57
-37.987,142.356,28.6,85,59
-37.882,143.173,51.8,94,74
-37.863,143.457,217.1,100,121
-38.031,142.39,153.5,100,104
-38.029,142.403,36.2,89,64
-38.047,142.6,58.1,95,76
-37.983,142.957,18.8,81,54
-37.901,143.382,18,80,53
-38.038,142.598,22,83,55
-38.033,142.858,131.4,100,101
-38.035,142.846,232.1,100,122
-37.188,148.763,108.9,97,81
-37.193,148.735,42.8,87,57
-38.167,143.094,39.3,90,66
-38.059,143.969,79.2,99,87
-38.035,143.869,25.9,86,60
-38.057,143.981,37,90,67
-38.169,143.082,33.7,88,63
-38.13,143.85,90,100,91
-38.092,143.929,17.8,81,54
-38.119,143.734,18.1,81,53
-38.534,143.929,32.9,89,61
-38.543,143.931,24.3,84,54
-38.541,143.942,17.8,80,48
-38.526,143.915,24.2,82,54
-38.524,143.927,29.3,87,58
-37.478,144.871,50.7,90,63
-37.475,144.856,67,93,70
-37.403,144.853,182.3,100,100
-37.405,144.867,21.3,80,48
-36.199,146.925,16.4,90,41
-36.71,141.024,120.1,84,55
-36.707,141.031,107.1,83,53
-37.464,142.735,168.8,85,55
-37.468,142.742,170.3,81,55
-36.2,146.921,60.8,83,54
-36.196,146.926,72.2,84,56
-36.883,142.793,207.4,86,59
-37.619,142.151,186.4,83,51
-35.285,142.37,26.1,84,59
-35.762,142.145,26.5,85,61
-36.015,141.702,116.2,100,99
-36.013,141.714,18.4,80,55
-36.236,141.523,41.3,91,69
-36.381,141.037,47.3,93,72
-36.38,141.048,26.1,85,60
-36.422,141.694,46.1,93,72
-36.421,141.705,32.2,88,63
-36.607,141.003,212,100,120
-36.609,140.992,23.4,83,55
-36.719,140.988,45.5,84,71
-36.721,140.976,146.8,94,106
-36.672,141.567,42.7,92,69
-37.378,143.652,28.3,85,55
-37.672,148.024,48.3,97,45
-37.674,148.001,36,87,40
-37.689,147.98,39,92,43
-37.702,147.987,150.9,100,74
-37.717,147.966,34.3,86,40
-37.717,148.124,51.5,100,47
-37.715,148.119,65.4,100,53
-37.703,147.958,100.7,100,62
-37.701,147.981,187.8,100,80
-37.714,147.983,50.3,100,47
-37.685,148.025,35.6,86,40
-37.704,147.964,153.4,100,74
-37.682,148.025,92.1,94,72
-37.695,147.996,13.6,81,38
-37.683,148.038,59,100,71
-37.688,148.01,66.4,100,74
-37.69,148.023,23,94,49
-37.686,147.998,98.5,100,86
-37.677,148.001,49.8,100,67
-37.687,147.987,51.8,99,52
-37.69,148.03,52,100,51
-37.677,147.998,31.5,87,42
-37.657,147.858,61.9,96,78
-37.648,147.856,27.1,86,58
-37.658,147.847,22.2,84,55
-37.679,148.024,51.4,94,74
-37.684,147.989,45.7,93,70
-37.67,148.022,75.6,98,84
-37.687,148.037,53.2,94,74
-37.677,148.035,65.3,97,80
-37.693,147.991,52.2,94,74
-36.468,143.316,78.5,84,59
-37.687,142.118,81.4,89,64
-37.679,142.131,46.5,81,53
-37.683,142.111,49.4,82,54
-37.501,142.425,25.5,95,44
-36.731,140.986,114.9,87,64
-37.866,142.442,77.6,81,51
-38.204,144.011,135.6,81,55
-37.182,149.148,162.8,98,83
-37.18,149.132,235.6,100,95
-36.839,142.575,31.4,100,50
-36.829,142.573,33,100,51
-36.7,142.594,105.4,82,56
-37.845,143.936,69.2,80,50
-38.071,143.9,110.2,86,59
-38.069,143.933,161.5,91,66
-38.07,143.94,101.7,85,57
-38.072,143.907,231.8,95,75
-36.695,141.064,29,85,62
-36.684,141.073,147.4,100,105
-36.685,141.061,90,100,89
-36.693,141.075,29.9,86,62
-36.824,141.412,31.3,85,62
-36.767,141.981,21.2,80,56
-36.718,142.451,30.5,83,60
-36.72,142.438,32.7,85,61
-36.915,143.041,29.5,83,58
-36.924,143.043,24.5,80,55
-37.859,143.905,136.7,100,94
-37.869,143.907,187.2,100,105
-37.871,143.893,131.6,87,94
-37.867,143.912,128.4,99,93
-35.658,141.053,201.1,98,82
-35.649,141.032,138.6,93,73
-35.656,141.06,144.8,93,74
-36.376,141.423,28.4,84,63
-36.386,141.424,22.3,80,60
-36.675,141.223,25.8,82,60
-36.669,141.599,59.7,95,78
-36.668,141.444,48.7,91,72
-36.687,141.448,99.5,100,90
-36.667,141.612,45.6,91,72
-36.673,141.215,41.7,88,68
-36.676,141.21,114.9,100,93
-36.674,141.791,27.1,84,62
-36.78,141.51,33,85,64
-36.79,141.512,61.7,94,77
-36.759,142.414,20.2,80,59
-36.973,142.175,22.7,82,60
-37.134,141.846,21.9,80,57
-37.46,143.695,26.2,85,62
-37.469,143.697,32.2,88,66
-37.467,143.708,20.7,82,59
-37.812,142.13,25.5,83,59
-37.759,143.465,36.1,90,69
-37.697,144.234,26.1,85,62
-37.698,144.223,42.8,92,72
-37.875,143.55,27.3,86,64
-38.056,143.016,29.7,87,65
-38.066,143.006,22.5,83,60
-38.065,143.018,47.4,93,74
-34.793,143.313,119.3,100,94
-36.65,141.321,93.3,87,68
-36.664,141.33,62.7,80,62
-36.676,141.331,199.9,99,86
-36.653,141.305,63.3,81,62
-36.651,141.328,125.5,92,74
-37.24,146.843,149.1,100,85
-37.242,146.828,127.8,100,80
-36.717,141.038,55.9,84,58
-36.72,141.034,51.5,83,56
-36.901,146.565,83.8,100,55
-36.902,146.548,81.1,100,54
-36.915,146.551,37.6,85,39
-37.098,142.005,31.6,83,62
-36.876,146.557,39.2,84,70
-37.271,147.048,15.7,80,51
-36.853,146.587,23.7,100,51
-36.915,146.561,15.4,90,41
-36.918,146.568,14.9,89,41
-36.871,140.978,102.4,85,64
-36.865,141.005,177.7,93,75
-36.86,140.999,141.4,90,70
-36.9,146.594,13.3,85,39
-36.863,146.602,16.5,93,43
-36.861,146.589,14.2,88,41
-36.871,146.587,19.6,99,46
-35.932,145.178,10.9,80,37
-36.876,146.602,23.5,100,53
-37.267,146.824,26,100,53
-37.251,146.868,16.9,83,45
-37.441,146.831,13.3,82,38
-37.437,146.854,13.6,86,40
-37.406,146.941,22.6,100,49
-37.439,146.843,55.5,100,72
-37.577,146.841,12.6,82,39
-37.562,147.004,14,87,40
-37.582,146.997,14.1,88,41
-37.58,147.008,24.8,100,52
-36.665,141.407,26.7,81,62
-36.718,141.414,28.7,83,64
-37.231,146.916,83,88,63
-37.302,147.081,57.1,82,55
-37.726,146.945,22.6,82,53
-37.584,146.849,19.4,80,48
-37.592,146.99,29.1,86,56
-37.261,146.852,22.2,81,51
-36.887,146.565,24.2,83,55
-36.881,146.591,158.4,100,106
-36.879,146.579,57.5,94,75
-36.888,146.591,58.1,100,57
-36.885,146.574,93.4,100,69
-36.89,146.56,30.5,100,49
-36.895,146.59,23.5,96,45
-36.885,146.588,46.1,100,59
-36.887,146.573,98.1,100,80
-36.897,146.575,31.7,100,51
-37.389,146.942,23.6,92,43
-37.412,147.154,18,81,38
-37.608,146.931,17.9,83,39
-37.588,146.985,23,93,43
-36.891,146.594,56.9,91,68
-36.889,146.607,27.9,81,53
-36.901,146.595,27.9,80,52
-37.096,147.284,38.5,87,60
-37.227,146.935,86.2,96,79
-37.237,146.937,29.5,83,54
-37.28,146.916,61.3,94,72
-37.208,147.283,34.6,85,58
-37.29,146.918,64.5,94,73
-37.299,146.924,26,81,55
-37.301,147.081,42.4,88,62
-37.321,146.819,29.6,81,51
-37.509,146.949,55.1,90,65
-37.567,146.885,25.9,81,51
