latitude,longitude,air_temperature_celcius,relative_humidity,wind_speed_knots
-37.404,141.272,11,40.8,12.2
-37.393,141.27,12,48.2,7.3
-37.406,141.256,16,54.8,8.3
-37.397,141.239,15,51.9,6.6
-37.366,142.441,15,45.6,10.2
-37.424,145.114,14,49.2,10.5
-37.426,145.102,10,42.6,8.9
-37.701,143.31,10,43.1,4.7
-37.709,143.325,10,43.3,2.6
-37.21,148.819,14,47.4,7.1
-37.208,148.832,12,45.1,11.9
-38.184,141.995,12,45,10.5
-38.194,141.997,12,49.9,6.1
-37.947,144.127,12,49,4.6
-38.187,141.989,10,45.7,3.7
-38.187,141.965,9,45.3,2.5
-38.189,141.974,14,47.9,5.3
-37.941,144.619,9,44,2.8
-37.838,145.702,10,46.8,5.3
-37.836,145.713,10,47,5.2
-37.731,147.53,12,48.8,4.2
-37.635,148.486,13,49.4,3.8
-38.38,146.675,14,49.9,6.8
-37.426,141.393,12,51.6,3.4
-38.38,146.674,14,50.1,8.7
-36.407,146.616,14,51,9.9
-36.41,146.631,17,48.7,10.5
-37.464,141.303,15,49.9,7.9
-38.229,146.956,14,48.4,7.5
-38.171,146.928,14,50.7,8.6
-38.169,146.923,13,48.5,7.1
-37.751,141.768,14,48.1,13.7
-38.156,146.93,9,41.2,10
-37.459,141.278,12,42.8,12.1
-37.653,148.313,8,41.6,8.3
-37.663,148.321,11,43.8,6.5
-34.72,142.94,11,43.2,5.5
-37.94,141.043,12,47,4.8
-37.938,141.056,8,43.3,3.9
-38.393,146.766,9,43.2,4.9
-38.391,146.755,12,47.6,9.1
-35.074,141.802,9,40.8,6.7
-36.38,144.753,8,40.7,5.3
-37.292,143.151,10,46.3,4.6
-37.508,142.362,10,47.1,4.6
-37.49,142.358,8,44.5,4.7
-37.472,143.185,10,44.9,5.5
-37.523,143.492,12,49.4,4.4
-37.525,143.478,8,43.1,3.4
-37.523,143.483,11,46.4,6.5
-37.775,142.684,11,45.4,5.2
-37.589,143.458,8,42.6,2
-38.248,146.305,10,45.6,4.5
-37.501,142.384,10,47.9,4.1
-37.495,142.379,11,45.1,5.6
-37.497,142.391,11,45.3,10.6
-37.318,143.355,10,45.9,3.2
-36.813,141.751,10,41.4,9.4
-36.607,144.91,11,43.9,11.2
-37.371,141.477,10,37.9,8.5
-37.497,142.388,11,44.2,8.7
-37.494,142.394,10,45.7,3.6
-37.677,142.878,9,41,8.2
-37.831,145.703,10,43.7,7.2
-37.844,145.709,10,42.1,9.4
-37.407,147.513,5,34.9,4.3
-36.38,141.434,5,33.1,5.8
-36.394,141.422,6,30.8,5.7
-36.391,141.438,11,45.1,11.5
-36.392,141.416,12,47.2,8.8
-36.389,141.432,9,42.4,7.2
-36.383,141.419,9,40.1,7.5
-36.984,141.431,9,41.2,9.8
-37.114,141.056,9,42.8,9.3
-36.986,141.917,10,39.4,9.6
-36.431,144.803,10,44.4,5.6
-36.437,144.799,6,39,1.8
-37.164,141.581,9,39,5.6
-37.378,141.489,12,40.7,16.7
-37.375,141.505,9,40,8.6
-37.454,141.585,6,37.1,5.8
-37.464,141.588,10,35.6,14.5
-37.457,141.76,12,41.8,14.7
-37.232,143.255,10,44.8,8.8
-37.809,141.16,10,43.5,12
-37.488,142.742,7,40.5,8.1
-37.807,141.175,8,39.3,7.7
-37.494,143.4,11,35.3,18.2
-37.489,143.393,10,44.7,8
-37.485,143.413,12,44.7,11.4
-37.952,141.044,13,44,13.6
-37.962,141.047,8,43.8,7.3
-37.419,147.476,11,43.5,13.1
-37.948,141.053,11,40.5,13.4
-37.957,141.051,15,41.5,17
-37.461,141.694,9,42,4.6
-37.46,141.682,7,40.5,3.1
-37.452,141.696,7,40.7,3.7
-37.465,141.588,5,38.6,1.8
-37.455,141.59,8,44.6,3.9
-37.451,141.684,10,41,14.1
-37.454,141.579,11,40.4,19.3
-37.313,143.361,9,41.1,12.7
-37.88,146.138,9,42.9,8.9
-37.888,146.135,12,44.9,7.9
-36.432,141.187,14,43.7,17
-36.429,141.193,15,41.6,15
-36.53,141.797,12,43.9,12
-36.532,141.78,12,47,7.7
-36.744,141.58,15,41.2,13.8
-36.744,141.591,14,44.6,7.7
-36.897,141.877,14,49.9,13.7
-36.899,141.866,13,42.5,14
-36.632,146.662,10,39.9,12.6
-36.631,146.674,8,41,11
-36.641,146.664,7,37.9,5.7
-36.64,146.676,8,37.2,5.5
-37.486,142.346,9,40.4,6.9
-37.49,143.409,12,43.3,7
-37.491,143.394,10,44.1,7.3
-37.216,146.826,9,42.2,6.4
-37.225,146.829,12,40.4,5.9
-37.789,142.599,11,39.7,11.8
-37.833,143.333,7,37.2,6.2
-37.999,141.732,8,40.8,5.5
-38.02,141.741,10,41.4,6.9
-37.726,144.193,8,39.3,4.7
-37.209,148.83,8,36.3,6.3
-38.051,141.651,13,38.4,11.5
-37.21,148.818,17,38.7,16.8
-37.904,146.22,12,41,12.9
-37.919,146.248,8,35,14.4
-37.19,149.032,8,38.6,12.8
-37.187,149.026,10,43.7,9.5
-36.437,140.983,10,43.6,9.7
-37.672,141.431,9,41.9,9.2
-37.662,141.429,9,43.9,5.7
-37.673,141.417,11,41.7,8.7
-37.19,149.025,14,47.4,10.6
-37.177,149.037,13,51.1,6
-37.173,149.031,9,40.1,12.1
-37.187,149.019,12,44.5,11.1
-37.184,149.034,11,46.2,10.5
-37.176,149.015,9,37.9,9.1
-38.421,147.063,14,36,15.9
-37.676,141.447,14,39.3,17.7
-37.671,141.432,9,41.2,6.7
-37.671,141.424,14,41.7,12.3
-38.416,147.072,15,47.3,8.6
-38.414,147.06,20,43.6,10.3
-37.563,143.544,17,46.3,11.7
-37.56,143.534,14,44,14.4
-37.103,148.89,9,42.1,7.6
-37.101,148.879,11,40.8,6.4
-37.092,148.881,15,44.8,8.3
-37.094,148.892,13,43.6,9
-37.088,148.897,14,41.6,13.1
-36.125,147.474,11,41.6,7.9
-36.125,147.478,12,47.9,6.7
-37.094,148.882,11,44.2,5.8
-37.088,148.906,13,46.2,5.6
-37.092,148.902,19,50.3,7.7
-37.089,148.887,12,47.5,15
-37.101,148.889,11,45.3,8.5
-37.18,149.023,17,46.4,9.5
-38.423,147.074,18,54.6,12
-38.419,147.081,12,44.4,7.8
-38.005,141.207,13,42.5,8
-38.003,141.219,15,48.2,14.7
-38,141.232,15,44.5,10.2
-38.532,143.34,12,44.2,6.2
-37.369,141.491,11,43.2,5.9
-37.087,143.841,13,50.7,6.1
-37.365,143.142,19,54.3,5.9
-37.534,142.913,22,46.8,8
-37.532,142.926,26,52.2,13.7
-37.508,143.391,15,51,9.6
-37.518,143.392,13,42,11.4
-37.523,143.587,12,47.3,9.7
-37.516,143.405,13,50.3,8.6
-37.806,142.142,14,49.5,6
-37.734,142.94,15,53.7,6.8
-37.82,143.404,14,51,9.1
-37.721,146.519,13,50.4,7.9
-37.72,146.53,22,46.9,12.9
-37.875,146.22,15,48.7,8.5
-38.377,147.061,17,44.9,16.1
-38.376,147.072,11,43.2,8.1
-38.386,147.063,13,47.1,8.1
-38.385,147.075,13,50.1,8.5
-37.423,141.389,12,43.8,6.7
-37.429,141.417,11,40.4,9.2
-37.424,141.425,11,41.4,7.7
-37.418,141.397,13,43.3,9.4
-38.384,147.072,13,44.1,12.9
-38.374,147.075,12,42.7,10
-36.207,147.625,12,46.6,6.7
-36.445,141.031,14,50.9,5.9
-37.573,142.634,18,53.8,6.4
-37.478,143.093,18,55.6,8.2
-37.623,142.625,18,53.8,6.7
-37.637,142.631,24,51.9,7.3
-37.635,142.634,28,48.3,11.9
-37.643,142.601,21,58.8,8.8
-37.677,142.917,18,61.5,5.5
-37.679,142.91,19,58.7,5.5
-37.223,143.263,20,58.4,4.7
-37.222,143.223,22,57,8.5
-37.22,143.27,24,55.5,7.9
-36.328,141.127,24,51.8,7.9
-36.716,141.686,23,49.6,6.3
-38.372,147.055,24,56.8,5.7
-38.377,147.063,23,58.8,9.1
-37.516,143.032,24,60.1,8
-37.518,143.019,20,60.8,10.4
-38.705,143.308,17,52.7,7.7
-37.619,149.246,23,58.8,8.8
-37.618,149.258,28,56.7,9.3
-37.533,149.215,26,61,9.3
-37.681,148.283,17,59,9.4
-37.678,148.318,15,56.2,16.9
-37.692,148.285,14,48.2,12.5
-37.691,148.302,14,48.2,9.1
-37.689,148.32,17,53,14.6
-37.679,148.301,16,51.7,7.4
-38.601,143.403,15,51,9
-38.482,143.419,15,48.1,7.9
-36.332,147.521,17,53.6,7.6
-36.788,146.45,17,53.5,7.3
-37.28,147.196,17,52,8.8
-37.187,149.162,19,55.3,6.2
-37.189,149.15,28,49.9,11
-37.877,146.128,17,52.5,7.7
-37.89,146.223,18,52,7.1
-37.886,146.112,18,53.7,9
-37.881,146.221,21,58.7,7.8
-37.884,146.124,25,60.9,6.3
-37.809,147.099,21,57.4,10.7
-37.533,149.19,17,51.2,9.9
-37.811,147.088,17,52.5,5.7
-37.182,149.144,19,55.8,6
-37.886,146.223,19,53.9,8.3
-36.263,141.303,16,47,12
-36.263,141.303,17,50.4,10.8
-36.658,141.461,22,55.5,10.3
-36.654,141.464,28,58.3,9.3
-36.663,141.437,21,61.1,6.6
-36.654,141.464,19,59.7,7.4
-36.663,141.437,16,51.5,8.7
-36.667,141.469,18,53.6,7.9
-36.658,141.461,19,52.9,8.1
-36.667,141.469,19,56.8,7.9
-36.66,141.441,15,50.7,9.2
-36.66,141.441,16,53.6,8.1
-36.672,141.445,24,61.6,7.7
-36.672,141.445,24,62.3,7
-36.746,141.547,26,60.8,6.9
-36.746,141.547,32,54.1,12.8
-36.743,141.554,20,57.7,9.9
-36.749,141.53,19,56.3,5.8
-36.743,141.554,20,57,8.7
-36.749,141.53,18,53.3,7.9
-36.966,141.013,22,56.3,8
-36.966,141.013,19,54.1,11.2
-36.94,141.953,17,50.4,11.9
-36.94,141.953,16,50.8,5.8
-36.935,141.956,24,55.4,5.9
-36.935,141.956,24,53.4,9.9
-36.064,145.93,16,46.7,10
-36.064,145.93,19,57.2,8.9
-36.066,145.939,16,50.9,12.9
-36.066,145.939,17,52.5,6.7
-37.604,142.637,23,59,6
-37.604,142.637,25,58.3,12.2
-37.598,142.642,16,48.2,9.9
-37.598,142.642,17,50.8,9
-37.488,143.567,18,53.5,8.8
-37.509,143.476,19,56.1,6.9
-37.488,143.567,18,57,7.4
-37.509,143.476,22,58,6.9
-37.496,143.476,20,55.8,10.5
-37.51,143.481,16,48.4,8.1
-37.723,142.752,16,48.9,5.4
-37.488,143.572,18,53,6.6
-37.723,142.752,18,54.4,5.7
-37.496,143.476,26,53.7,8.7
-37.51,143.481,21,64.5,10.6
-37.488,143.572,16,48.1,9.3
-37.891,143.386,20,57.4,10.9
-37.891,143.386,31,61.9,14.1
-37.882,146.203,22,62.7,7.6
-37.885,146.209,21,60.4,6.8
-36.85,142.646,19,53.8,9.2
-36.358,146.664,16,48.3,14.4
-36.933,143.259,16,53.6,12.1
-36.931,143.271,14,48.5,7.3
-36.41,141.697,22,53.4,10.9
-36.417,141.704,18,53.6,7.2
-36.922,143.273,18,49.4,9.3
-36.931,143.278,15,44.6,9.7
-36.92,143.288,13,48.5,10.7
-36.92,143.273,15,49.1,9.6
-37.259,144.285,16,51,6
-37.25,144.283,23,49.6,10
-37.458,144.308,18,55.5,8.9
-36.909,143.291,16,48.3,9.4
-36.911,143.266,17,52.6,10.3
-37.258,144.274,21,54.9,7.4
-37.753,146.267,24,55.6,5.9
-36.913,143.276,23,54.1,5.7
-36.903,143.278,21,57.3,5.4
-36.905,143.292,20,62.6,10.1
-36.912,143.265,21,59.5,12.4
-35.39,141.045,22,62,7.9
-35.383,141.029,20,58.8,11.5
-35.38,141.043,20,52.9,17
-36.315,141.117,19,51.5,10.2
-36.398,141.173,21,51.7,7.2
-36.439,140.994,23,53.4,6.1
-36.408,141.176,19,60.2,6.4
-36.391,141.685,20,59.7,8.6
-36.441,141.343,21,58.1,5.3
-36.495,141.205,20,62.2,7.1
-36.438,141.356,25,58.3,7.1
-36.674,141.183,28,58.4,11.9
-36.686,141.172,18,53.3,10.8
-36.681,141.199,18,51.1,8.1
-36.888,141.384,21,52.8,4.1
-36.886,141.397,24,55.2,5.8
-36.969,142.036,23,63.8,7.1
-36.931,143.247,20,67.4,8.5
-36.928,143.263,18,57.5,16.1
-36.939,143.267,18,55.6,12.8
-36.918,143.259,20,58.4,6.1
-37.766,142.708,23,61.9,8
-37.698,143.307,23,60.6,10.1
-37.712,143.294,17,53.4,9.4
-37.709,143.31,18,50.6,6
-37.957,142.857,17,49.9,12.2
-37.936,142.85,13,47,7.9
-37.974,143.467,14,45.8,6.5
-38.09,143.086,14,45.7,9.2
-38.199,143.978,12,43.4,9.3
-36.222,141.071,15,47.7,5.9
-36.92,143.263,16,47.5,5.4
-36.343,141.024,17,47.2,4.9
-36.643,141.729,19,44.2,7.8
-36.93,143.253,21,47,13.2
-36.917,143.27,19,52.8,12.5
-36.919,143.252,11,48.2,10.8
-37.512,142.589,14,50.4,12.8
-37.511,142.609,14,52.5,7
-37.546,142.614,14,52.4,6.7
-37.575,142.557,16,54.9,5.9
-37.581,142.563,13,48.5,5.3
-37.612,142.608,12,44,4.7
-37.871,141.86,15,49.3,3.6
-37.783,142.724,13,51.4,4.6
-37.913,142.142,15,56.1,5.1
-37.911,142.163,22,52.8,9.1
-37.95,142.879,20,53.5,7.2
-37.951,142.86,17,58.1,11.7
-37.033,141.713,18,58.9,5.5
-37.103,141.364,17,59.3,4.2
-37.46,142.919,19,60.5,7
-37.299,143.918,14,52.8,9.3
-37.3,143.898,11,40.8,12.2
-37.711,142.112,12,48.2,7.3
-37.635,143.04,16,54.8,8.3
-37.755,142.798,15,51.9,6.6
-37.767,142.802,15,45.6,10.2
-37.762,143.197,14,49.2,10.5
-37.754,143.17,10,42.6,8.9
-37.767,143.174,10,43.1,4.7
-37.749,143.193,10,43.3,2.6
-37.289,146.112,14,47.4,7.1
-37.479,149.448,12,45.1,11.9
-37.981,143.926,12,45,10.5
-38.099,143.773,12,49.9,6.1
-37.186,142.596,12,49,4.6
-37.294,146.128,10,45.7,3.7
-37.304,146.126,9,45.3,2.5
-36.703,146.583,14,47.9,5.3
-37.192,142.581,9,44,2.8
-37.203,142.7,10,46.8,5.3
-37.2,142.594,10,47,5.2
-36.664,146.503,12,48.8,4.2
-36.674,146.506,13,49.4,3.8
-37.504,142.914,14,49.9,6.8
-37.513,142.911,12,51.6,3.4
-37.437,143.621,14,50.1,8.7
-37.536,142.882,14,51,9.9
-37.373,144.56,17,48.7,10.5
-37.372,144.571,15,49.9,7.9
-37.309,146.117,14,48.4,7.5
-37.991,143.424,14,50.7,8.6
-37.989,143.436,13,48.5,7.1
-37.976,143.586,14,48.1,13.7
-37.338,146.127,9,41.2,10
-36.661,146.503,12,42.8,12.1
-36.664,146.509,8,41.6,8.3
-37.061,148.775,11,43.8,6.5
-36.28,147.827,11,43.2,5.5
-36.901,141.501,12,47,4.8
-36.894,147.965,8,43.3,3.9
-36.994,148.556,9,43.2,4.9
-37.329,146.116,12,47.6,9.1
-37.341,146.104,9,40.8,6.7
-37.036,148.748,8,40.7,5.3
-37.31,146.099,10,46.3,4.6
-37.034,148.76,10,47.1,4.6
-37.708,147.952,8,44.5,4.7
-37.046,148.764,10,44.9,5.5
-37.916,143.371,12,49.4,4.4
-37.936,143.275,8,43.1,3.4
-37.974,143.267,11,46.4,6.5
-37.962,143.263,11,45.4,5.2
-37.94,143.255,8,42.6,2
-37.786,146.033,10,45.6,4.5
-38.01,144.341,10,47.9,4.1
-38.011,144.355,11,45.1,5.6
-37.66,146.055,11,45.3,10.6
-36.199,146.923,10,45.9,3.2
-36.19,146.921,10,41.4,9.4
-36.2,146.912,11,43.9,11.2
-36.197,146.934,10,37.9,8.5
-36.961,148.561,11,44.2,8.7
-37.453,145.941,10,45.7,3.6
-37.756,144.232,9,41,8.2
-37.985,143.374,10,43.7,7.2
-37.981,143.38,10,42.1,9.4
-37.658,146.123,5,34.9,4.3
-37.659,146.112,5,33.1,5.8
-37.983,143.365,6,30.8,5.7
-37.651,146.116,11,45.1,11.5
-37.785,146.277,12,47.2,8.8
-37.784,146.288,9,42.4,7.2
-37.905,145.845,9,40.1,7.5
-37.708,147.945,9,41.2,9.8
-37.706,147.956,9,42.8,9.3
-37.681,147.997,10,39.4,9.6
-38.175,144.461,10,44.4,5.6
-37.896,145.847,6,39,1.8
-37.906,145.851,9,39,5.6
-36.283,141.42,12,40.7,16.7
-36.361,141.096,9,40,8.6
-36.286,141.743,6,37.1,5.8
-36.364,141.089,10,35.6,14.5
-36.409,141.044,12,41.8,14.7
-36.449,141.038,10,44.8,8.8
-36.442,141.372,10,43.5,12
-36.538,142.376,7,40.5,8.1
-36.732,141.061,8,39.3,7.7
-36.732,141.055,11,35.3,18.2
-36.767,141.79,10,44.7,8
-36.761,142.631,12,44.7,11.4
-36.814,142.51,13,44,13.6
-36.847,142.68,8,43.8,7.3
-36.204,146.913,11,43.5,13.1
-36.202,146.925,11,40.5,13.4
-36.848,142.668,15,41.5,17
-36.899,142.756,9,42,4.6
-36.977,142.664,7,40.5,3.1
-36.348,146.719,7,40.7,3.7
-37.19,143.809,5,38.6,1.8
-36.856,146.27,8,44.6,3.9
-36.847,146.267,10,41,14.1
-36.876,146.262,11,40.4,19.3
-36.886,146.264,9,41.1,12.7
-36.845,146.28,9,42.9,8.9
-37.284,143.86,12,44.9,7.9
-37.286,143.848,14,43.7,17
-37.594,142.712,15,41.6,15
-37.593,142.724,12,43.9,12
-37.679,143.25,12,47,7.7
-37.81,142.309,15,41.2,13.8
-37.799,142.319,14,44.6,7.7
-37.688,143.252,14,49.9,13.7
-37.801,142.307,13,42.5,14
-37.79,142.317,10,39.9,12.6
-37.791,142.305,8,41,11
-37.747,143.283,7,37.9,5.7
-37.843,142.695,8,37.2,5.5
-37.755,143.296,9,40.4,6.9
-37.756,143.284,12,43.3,7
-37.746,143.294,10,44.1,7.3
-37.833,142.693,9,42.2,6.4
-37.912,142.523,12,40.4,5.9
-37.784,143.493,11,39.7,11.8
-37.89,142.618,7,37.2,6.2
-37.881,143.185,8,40.8,5.5
-37.865,143.446,10,41.4,6.9
-37.989,142.344,8,39.3,4.7
-37.972,142.703,8,36.3,6.3
-37.987,142.356,13,38.4,11.5
-37.882,143.173,17,38.7,16.8
-37.863,143.457,12,41,12.9
-38.031,142.39,8,35,14.4
-38.029,142.403,8,38.6,12.8
-38.047,142.6,10,43.7,9.5
-37.983,142.957,10,43.6,9.7
-37.901,143.382,9,41.9,9.2
-38.038,142.598,9,43.9,5.7
-38.033,142.858,11,41.7,8.7
-38.035,142.846,14,47.4,10.6
-37.188,148.763,13,51.1,6
-37.193,148.735,9,40.1,12.1
-38.167,143.094,12,44.5,11.1
-38.059,143.969,11,46.2,10.5
-38.035,143.869,9,37.9,9.1
-38.057,143.981,14,36,15.9
-38.169,143.082,14,39.3,17.7
-38.13,143.85,9,41.2,6.7
-38.092,143.929,14,41.7,12.3
-38.119,143.734,15,47.3,8.6
-38.534,143.929,20,43.6,10.3
-38.543,143.931,17,46.3,11.7
-38.541,143.942,14,44,14.4
-38.526,143.915,9,42.1,7.6
-38.524,143.927,11,40.8,6.4
-37.478,144.871,15,44.8,8.3
-37.475,144.856,13,43.6,9
-37.403,144.853,14,41.6,13.1
-37.405,144.867,11,41.6,7.9
-36.199,146.925,12,47.9,6.7
-36.71,141.024,11,44.2,5.8
-36.707,141.031,13,46.2,5.6
-37.464,142.735,19,50.3,7.7
-37.468,142.742,12,47.5,15
-36.2,146.921,11,45.3,8.5
-36.196,146.926,17,46.4,9.5
-36.883,142.793,18,54.6,12
-37.619,142.151,12,44.4,7.8
-35.285,142.37,13,42.5,8
-35.762,142.145,15,48.2,14.7
-36.015,141.702,15,44.5,10.2
-36.013,141.714,12,44.2,6.2
-36.236,141.523,11,43.2,5.9
-36.381,141.037,13,50.7,6.1
-36.38,141.048,19,54.3,5.9
-36.422,141.694,22,46.8,8
-36.421,141.705,26,52.2,13.7
-36.607,141.003,15,51,9.6
-36.609,140.992,13,42,11.4
-36.719,140.988,12,47.3,9.7
-36.721,140.976,13,50.3,8.6
-36.672,141.567,14,49.5,6
-37.378,143.652,15,53.7,6.8
-37.672,148.024,14,51,9.1
-37.674,148.001,13,50.4,7.9
-37.689,147.98,22,46.9,12.9
-37.702,147.987,15,48.7,8.5
-37.717,147.966,17,44.9,16.1
-37.717,148.124,11,43.2,8.1
-37.715,148.119,13,47.1,8.1
-37.703,147.958,13,50.1,8.5
-37.701,147.981,12,43.8,6.7
-37.714,147.983,11,40.4,9.2
-37.685,148.025,11,41.4,7.7
-37.704,147.964,13,43.3,9.4
-37.682,148.025,13,44.1,12.9
-37.695,147.996,12,42.7,10
-37.683,148.038,12,46.6,6.7
-37.688,148.01,14,50.9,5.9
-37.69,148.023,18,53.8,6.4
-37.686,147.998,18,55.6,8.2
-37.677,148.001,18,53.8,6.7
-37.687,147.987,24,51.9,7.3
-37.69,148.03,28,48.3,11.9
-37.677,147.998,21,58.8,8.8
-37.657,147.858,18,61.5,5.5
-37.648,147.856,19,58.7,5.5
-37.658,147.847,20,58.4,4.7
-37.679,148.024,22,57,8.5
-37.684,147.989,24,55.5,7.9
-37.67,148.022,24,51.8,7.9
-37.687,148.037,23,49.6,6.3
-37.677,148.035,24,56.8,5.7
-37.693,147.991,23,58.8,9.1
-36.468,143.316,24,60.1,8
-37.687,142.118,20,60.8,10.4
-37.679,142.131,17,52.7,7.7
-37.683,142.111,23,58.8,8.8
-37.501,142.425,28,56.7,9.3
-36.731,140.986,26,61,9.3
-37.866,142.442,17,59,9.4
-38.204,144.011,15,56.2,16.9
-37.182,149.148,14,48.2,12.5
-37.18,149.132,14,48.2,9.1
-36.839,142.575,17,53,14.6
-36.829,142.573,16,51.7,7.4
-36.7,142.594,15,51,9
-37.845,143.936,15,48.1,7.9
-38.071,143.9,17,53.6,7.6
-38.069,143.933,17,53.5,7.3
-38.07,143.94,17,52,8.8
-38.072,143.907,19,55.3,6.2
-36.695,141.064,28,49.9,11
-36.684,141.073,17,52.5,7.7
-36.685,141.061,18,52,7.1
-36.693,141.075,18,53.7,9
-36.824,141.412,21,58.7,7.8
-36.767,141.981,25,60.9,6.3
-36.718,142.451,21,57.4,10.7
-36.72,142.438,17,51.2,9.9
-36.915,143.041,17,52.5,5.7
-36.924,143.043,19,55.8,6
-37.859,143.905,19,53.9,8.3
-37.869,143.907,16,47,12
-37.871,143.893,17,50.4,10.8
-37.867,143.912,22,55.5,10.3
-35.658,141.053,28,58.3,9.3
-35.649,141.032,21,61.1,6.6
-35.656,141.06,19,59.7,7.4
-36.376,141.423,16,51.5,8.7
-36.386,141.424,18,53.6,7.9
-36.675,141.223,19,52.9,8.1
-36.669,141.599,19,56.8,7.9
-36.668,141.444,15,50.7,9.2
-36.687,141.448,16,53.6,8.1
-36.667,141.612,24,61.6,7.7
-36.673,141.215,24,62.3,7
-36.676,141.21,26,60.8,6.9
-36.674,141.791,32,54.1,12.8
-36.78,141.51,20,57.7,9.9
-36.79,141.512,19,56.3,5.8
-36.759,142.414,20,57,8.7
-36.973,142.175,18,53.3,7.9
-37.134,141.846,22,56.3,8
-37.46,143.695,19,54.1,11.2
-37.469,143.697,17,50.4,11.9
-37.467,143.708,16,50.8,5.8
-37.812,142.13,24,55.4,5.9
-37.759,143.465,24,53.4,9.9
-37.697,144.234,16,46.7,10
